month,SetPower,mean,std
2022-01,38,691.5,0.5
2022-01,82,1698.83,4.37
2022-01,83,1720.45,3.77
2022-02,38,692.77,0.42
2022-02,82,1699.79,4.39
2022-02,83,1722.63,3.79
2022-03,38,690.37,1.46
2022-03,82,1695.61,5.07
2022-03,83,1717.7,4.82
2022-04,38,688.68,1.2
2022-04,82,1692.39,4.51
2022-04,83,1714.05,3.99
2022-05,38,687.4,1.38
2022-05,82,1689.86,4.61
2022-05,83,1711.63,4.08
2022-06,38,685.79,2.01
2022-06,82,1684.42,5.89
2022-06,83,1706.15,5.41
2022-07,38,682.62,0.98
2022-07,82,1677.4,5.24
2022-07,83,1698.11,5.04
