file,시작시간,종료시간,이상행수,PageNo,SetPower,평균_실제출력,평균_예측출력,최대_|Z|,점검사유,점검우선순위,실제_불량행수,동일포인트_반복횟수
WeldingTest_03_NG,2022-08-03 09:11:07.698,2022-08-03 09:11:07.698,1,14,35,630.0,688.0,19.5,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 09:14:06.191,2022-08-03 09:14:06.191,1,14,35,632.0,688.0,18.8,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 09:20:55.772,2022-08-03 09:20:55.772,1,14,35,630.0,688.0,19.5,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 09:32:56.460,2022-08-03 09:32:56.460,1,14,35,630.0,688.0,19.5,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 09:35:55.350,2022-08-03 09:35:55.350,1,14,35,632.0,688.0,18.8,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 09:39:24.180,2022-08-03 09:39:24.180,1,14,35,632.0,688.0,18.8,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 09:42:29.667,2022-08-03 09:42:29.667,1,14,35,632.0,688.0,18.8,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 09:45:27.541,2022-08-03 09:45:27.541,1,14,35,632.0,688.0,18.8,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 09:57:20.661,2022-08-03 09:57:20.661,1,14,35,630.0,688.0,19.5,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 10:11:30.155,2022-08-03 10:11:30.155,1,14,35,632.0,688.0,18.8,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 10:25:01.059,2022-08-03 10:25:01.059,1,14,35,630.0,688.0,19.5,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 10:53:11.253,2022-08-03 10:53:11.253,1,14,35,630.0,688.0,19.5,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 10:57:33.035,2022-08-03 10:57:33.035,1,14,35,630.0,688.0,19.5,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 11:00:32.164,2022-08-03 11:00:32.164,1,14,35,632.0,688.0,18.8,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 11:03:41.320,2022-08-03 11:03:41.320,1,14,35,632.0,688.0,18.8,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 11:09:33.549,2022-08-03 11:09:33.549,1,14,35,630.0,688.0,19.5,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 11:12:32.702,2022-08-03 11:12:32.702,1,14,35,632.0,688.0,18.8,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 11:18:12.820,2022-08-03 11:18:12.820,1,14,35,630.0,688.0,19.5,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_03_NG,2022-08-03 11:35:03.643,2022-08-03 11:35:03.643,1,14,35,631.0,688.0,19.2,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 학습에 없는 출력 설정값(SetPower) 확인",높음(동일 포인트 반복),1,19
WeldingTest_04_NG,2022-08-03 15:24:10.491,2022-08-03 15:24:10.491,1,1,82,1713.0,1679.4,4.3,출력 과다 - 출력 제어부/설정값 점검,보통,0,1
WeldingTest_04_NG,2022-08-03 15:24:22.509,2022-08-03 15:24:22.509,1,5,82,1721.0,1689.0,4.1,출력 과다 - 출력 제어부/설정값 점검,보통,0,1
WeldingTest_04_NG,2022-08-03 15:24:31.841,2022-08-03 15:24:31.841,1,7,82,1721.0,1688.0,4.2,출력 과다 - 출력 제어부/설정값 점검,보통,0,1
WeldingTest_04_NG,2022-08-03 15:24:47.181,2022-08-03 15:24:47.181,1,12,83,693.0,1716.0,120.3,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검",보통,0,1
WeldingTest_04_NG,2022-08-03 15:25:03.363,2022-08-03 15:25:03.363,1,18,38,1717.0,688.0,346.3,출력 과다 - 출력 제어부/설정값 점검,보통,0,1
WeldingTest_04_NG,2022-08-03 16:35:45.705,2022-08-03 17:47:02.353,273,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39","35,38,82,83",676.9,1311.7,231.5,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검",긴급,273,0
