file,SetPower,행수,평균_실제출력,평균_예측출력,평균_잔차,이상판정수,실제불량수
WeldingTest_01_OK,38,750,682.51,688.0,-5.49,0,0
WeldingTest_01_OK,82,600,1675.86,1690.71,-14.86,0,0
WeldingTest_01_OK,83,600,1697.69,1712.24,-14.55,0,0
WeldingTest_02_OK,38,720,681.75,688.0,-6.25,0,0
WeldingTest_02_OK,82,576,1674.23,1690.71,-16.49,0,0
WeldingTest_02_OK,83,576,1696.13,1712.24,-16.11,0,0
WeldingTest_03_NG,35,21,635.81,688.0,-52.19,19,19
WeldingTest_03_NG,38,384,681.49,688.0,-6.51,0,0
WeldingTest_03_NG,82,324,1673.11,1690.71,-17.6,0,0
WeldingTest_03_NG,83,324,1695.07,1712.24,-17.18,0,0
WeldingTest_04_NG,35,9,245.78,688.0,-442.22,7,7
WeldingTest_04_NG,38,126,250.41,688.0,-437.59,99,98
WeldingTest_04_NG,82,108,1171.39,1690.71,-519.32,87,84
WeldingTest_04_NG,83,108,1179.58,1712.24,-532.66,85,84
