구간,MAE,RMSE,R2
train(최종모델),4.4162,6.1253,0.9998
validation(시간분할),11.0568,12.2102,0.9994
train OOF(시간블록 5-fold),7.9726,52.2946,0.9887
WeldingTest_01_OK (정상행),11.1612,12.1157,0.9994
WeldingTest_01_OK (전체),11.1612,12.1157,0.9994
WeldingTest_02_OK (정상행),12.4328,13.4455,0.9992
WeldingTest_02_OK (전체),12.4328,13.4455,0.9992
WeldingTest_03_NG (정상행),13.3275,14.4105,0.9991
WeldingTest_03_NG (전체),14.1155,16.2036,0.9989
WeldingTest_04_NG (정상행),35.2577,164.6938,0.8895
WeldingTest_04_NG (전체),501.583,642.6385,-0.1109
