month,SetPower,count,mean,std,change_from_first_w,change_from_first_pct,drift_status
2022-01,38,1965,691.496,0.5,0.0,0.0,정상
2022-01,82,1572,1698.826,4.375,0.0,0.0,정상
2022-01,83,1572,1720.454,3.771,0.0,0.0,정상
2022-02,38,3105,692.766,0.423,1.27,0.184,정상
2022-02,82,2484,1699.791,4.386,0.965,0.057,정상
2022-02,83,2484,1722.635,3.787,2.181,0.127,정상
2022-03,38,10050,689.336,26.693,-2.16,-0.312,정상
2022-03,82,8040,1693.075,65.658,-5.752,-0.339,정상
2022-03,83,8040,1715.139,66.49,-5.315,-0.309,정상
2022-04,38,10770,688.682,1.204,-2.814,-0.407,정상
2022-04,82,8616,1692.388,4.506,-6.439,-0.379,정상
2022-04,83,8616,1714.051,3.986,-6.403,-0.372,정상
2022-05,38,7935,687.404,1.38,-4.093,-0.592,정상
2022-05,82,6348,1689.862,4.605,-8.964,-0.528,정상
2022-05,83,6348,1711.63,4.08,-8.824,-0.513,정상
2022-06,38,11130,685.793,2.006,-5.703,-0.825,정상
2022-06,82,8904,1684.417,5.887,-14.409,-0.848,정상
2022-06,83,8904,1706.154,5.407,-14.299,-0.831,정상
2022-07,38,7260,682.623,0.975,-8.873,-1.283,정상
2022-07,82,5808,1677.399,5.239,-21.427,-1.261,주의
2022-07,83,5808,1698.11,5.038,-22.344,-1.299,주의
