PageNo,page_median_power,residual_median,residual_scale,threshold,calibration_quantile,train_period
1,1682.0,3.8467,8.527,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
2,1707.0,0.1948,8.0352,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
3,1689.0,0.4346,7.8275,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
4,1712.0,0.4522,8.0452,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
5,1692.0,0.5515,7.8058,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
6,1714.0,0.2459,8.0481,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
7,1690.0,0.3644,7.8305,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
8,1714.0,0.4128,8.0789,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
9,1694.0,0.4338,7.8297,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
10,1717.0,0.3185,8.0856,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
11,1695.0,0.293,7.8014,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
12,1718.0,0.1943,8.0735,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
13,690.0,0.4653,3.356,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
14,688.0,0.4254,3.4307,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
15,688.0,0.3702,3.4508,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
16,688.0,0.0955,3.4398,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
17,688.0,0.0801,3.469,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
18,688.0,0.0769,3.4645,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
19,1708.0,0.8656,8.6927,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
20,1692.0,0.5309,7.8307,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
21,1714.0,0.3248,8.1148,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
22,1694.0,0.2114,7.814,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
23,1717.0,0.3321,8.0602,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
24,1695.0,0.5834,7.7864,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
25,1714.0,0.3554,8.0595,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
26,1695.0,0.3749,7.7868,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
27,1718.0,0.2937,8.0557,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
28,1697.0,0.4378,7.7849,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
29,1719.0,0.5978,8.0557,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
30,1698.0,0.2959,7.7855,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
31,690.0,0.2752,3.3436,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
32,688.0,0.6573,3.4322,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
33,690.0,0.7399,3.4561,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
34,690.0,0.5301,3.4442,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
35,690.0,0.2147,3.4549,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
36,690.0,0.2186,3.4473,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
37,688.0,0.0976,3.4646,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
38,690.0,0.3595,3.4534,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
39,688.0,0.2999,3.4593,3.6564,0.999,2022-01-08 10:11:45.181000 ~ 2022-06-10 09:39:10.808000
