file,subset,rows,MAE,RMSE,R2,accuracy_standard_w,tolerance_limit_w,retrain_warning
WeldingTest_01_OK,정상 행,1950,5.575,6.949,0.9998,20.0,60.0,
WeldingTest_01_OK,전체 행,1950,5.575,6.949,0.9998,20.0,60.0,
WeldingTest_02_OK,정상 행,1872,6.0803,7.7148,0.9998,20.0,60.0,
WeldingTest_02_OK,전체 행,1872,6.0803,7.7148,0.9998,20.0,60.0,
WeldingTest_03_NG,정상 행,1034,6.5085,8.1093,0.9997,20.0,60.0,
WeldingTest_03_NG,전체 행,1053,7.2278,10.1697,0.9996,20.0,60.0,
WeldingTest_04_NG,정상 행,78,32.0398,165.6056,0.8882,20.0,60.0,
WeldingTest_04_NG,전체 행,351,485.8314,615.0683,-0.0177,20.0,60.0,
전체 테스트,정상 행,4934,6.3807,22.1134,0.9979,20.0,60.0,
전체 테스트,전체 행,5226,38.3451,159.5901,0.9028,20.0,60.0,
