calibration_quantile,threshold,accuracy,precision,recall,f1,tn,fp,fn,tp,fpr,event_detected,event_total,normal_false_alarm_events,is_default
0.99,2.7592,0.9816,0.7526,1.0,0.8588,4838,96,0,292,0.0195,20,20,85,0
0.992,2.8449,0.9818,0.7545,1.0,0.8601,4839,95,0,292,0.0193,20,20,84,0
0.994,3.038,0.9818,0.7545,1.0,0.8601,4839,95,0,292,0.0193,20,20,84,0
0.995,3.0443,0.9872,0.8134,1.0,0.8971,4867,67,0,292,0.0136,20,20,56,0
0.996,3.0583,0.9966,0.9419,1.0,0.9701,4916,18,0,292,0.0036,20,20,7,0
0.997,3.0583,0.9966,0.9419,1.0,0.9701,4916,18,0,292,0.0036,20,20,7,0
0.998,3.0583,0.9966,0.9419,1.0,0.9701,4916,18,0,292,0.0036,20,20,7,0
0.999,3.6564,0.9975,0.9574,1.0,0.9782,4921,13,0,292,0.0026,20,20,5,1
0.9995,3.6564,0.9975,0.9574,1.0,0.9782,4921,13,0,292,0.0026,20,20,5,0
0.9999,8.9751,0.9996,0.9932,1.0,0.9966,4932,2,0,292,0.0004,20,20,2,0
