 PageNo, Speed, Length, RealPower, SetFrequency, SetDuty, SetPower, GateOnTime, WorkingTime
1,250,241.1,1688,1000,100,82,1154, 2022-01-08 10:11:45.181
2,250,241.2,1713,1000,100,83,1670, 2022-01-08 10:11:48.487
3,250,241.1,1695,1000,100,82,1153, 2022-01-08 10:11:51.245
4,250,241.2,1717,1000,100,83,1670, 2022-01-08 10:11:54.493
5,250,241.1,1698,1000,100,82,1154, 2022-01-08 10:11:57.269
6,250,241.2,1719,1000,100,83,1670, 2022-01-08 10:12:00.659
7,250,241.1,1697,1000,100,82,1153, 2022-01-08 10:12:06.660
8,250,241.2,1719,1000,100,83,1670, 2022-01-08 10:12:09.910
9,250,241.1,1699,1000,100,82,1154, 2022-01-08 10:12:12.674
10,250,241.2,1722,1000,100,83,1670, 2022-01-08 10:12:15.900
11,250,241.1,1700,1000,100,82,1154, 2022-01-08 10:12:18.684
12,250,241.2,1723,1000,100,83,1670, 2022-01-08 10:12:22.008
13,30,19.4,692,1000,100,38,650, 2022-01-08 10:12:26.774
14,30,19.4,692,1000,100,38,650, 2022-01-08 10:12:28.506
15,30,19.4,692,1000,100,38,650, 2022-01-08 10:12:31.410
16,30,19.4,692,1000,100,38,650, 2022-01-08 10:12:34.702
17,30,19.4,692,1000,100,38,650, 2022-01-08 10:12:36.378
18,30,19.4,691,1000,100,38,650, 2022-01-08 10:12:38.084
19,250,241.1,1714,1000,100,83,1670, 2022-01-08 10:12:59.328
20,250,241.2,1698,1000,100,82,1154, 2022-01-08 10:13:02.038
21,250,241.1,1721,1000,100,83,1670, 2022-01-08 10:13:05.500
22,250,241.2,1700,1000,100,82,1154, 2022-01-08 10:13:08.128
23,250,241.1,1722,1000,100,83,1670, 2022-01-08 10:13:11.628
24,250,241.2,1702,1000,100,82,1154, 2022-01-08 10:13:14.262
25,250,241.1,1721,1000,100,83,1670, 2022-01-08 10:13:20.910
26,250,241.2,1702,1000,100,82,1154, 2022-01-08 10:13:23.494
27,250,241.1,1724,1000,100,83,1670, 2022-01-08 10:13:26.986
28,250,241.2,1703,1000,100,82,1154, 2022-01-08 10:13:29.598
29,250,241.1,1726,1000,100,83,1670, 2022-01-08 10:13:33.116
30,250,241.2,1704,1000,100,82,1154, 2022-01-08 10:13:35.708
31,30,19.4,692,1000,100,38,650, 2022-01-08 10:13:40.146
32,30,19.4,691,1000,100,38,650, 2022-01-08 10:13:41.676
33,30,19.4,692,1000,100,38,650, 2022-01-08 10:13:44.756
34,30,19.4,692,1000,100,38,650, 2022-01-08 10:13:46.496
35,30,19.4,692,1000,100,38,650, 2022-01-08 10:13:49.988
36,30,19.4,692,1000,100,38,650, 2022-01-08 10:13:51.654
37,30,19.4,692,1000,100,38,650, 2022-01-08 10:13:53.390
38,30,19.4,692,1000,100,38,650, 2022-01-08 10:13:56.410
39,30,19.4,692,1000,100,38,650, 2022-01-08 10:13:57.874
1,250,241.1,1688,1000,100,82,1154, 2022-01-08 10:29:49.718
2,250,241.2,1713,1000,100,83,1670, 2022-01-08 10:29:53.014
3,250,241.1,1695,1000,100,82,1153, 2022-01-08 10:29:55.862
4,250,241.2,1717,1000,100,83,1670, 2022-01-08 10:29:59.110
5,250,241.1,1698,1000,100,82,1154, 2022-01-08 10:30:01.850
6,250,241.2,1719,1000,100,83,1670, 2022-01-08 10:30:05.204
7,250,241.1,1695,1000,100,82,1153, 2022-01-08 10:30:11.204
8,250,241.2,1721,1000,100,83,1670, 2022-01-08 10:30:14.448
9,250,241.1,1700,1000,100,82,1154, 2022-01-08 10:30:17.206
