part_number,date,previous_actual,actual_d,absolute_change,part_change_threshold
Part 0,2021-10-06,0.0,7,7.0,1.0
Part 0,2021-10-07,7.0,5,2.0,1.0
Part 0,2021-10-08,5.0,1,4.0,1.0
Part 0,2021-10-12,1.0,3,2.0,1.0
Part 0,2021-10-13,3.0,1,2.0,1.0
Part 1,2021-10-04,0.0,2,2.0,1.0
Part 1,2021-10-05,2.0,0,2.0,1.0
Part 1,2021-10-06,0.0,5,5.0,1.0
Part 1,2021-10-08,4.0,9,5.0,1.0
Part 1,2021-10-12,9.0,13,4.0,1.0
Part 1,2021-10-13,13.0,3,10.0,1.0
Part 1,2021-10-14,3.0,0,3.0,1.0
Part 102,2021-10-16,12.0,103,91.0,87.0
Part 103,2021-10-25,87.0,387,300.0,190.0
Part 103,2021-10-27,300.0,77,223.0,190.0
Part 104,2021-10-16,242.0,67,175.0,171.0
Part 105,2021-10-04,0.0,52,52.0,17.0
Part 105,2021-10-05,52.0,6,46.0,17.0
Part 105,2021-10-07,22.0,4,18.0,17.0
Part 105,2021-10-22,4.0,34,30.0,17.0
Part 105,2021-10-25,34.0,4,30.0,17.0
Part 106,2021-09-15,234.0,479,245.0,148.0
Part 106,2021-09-27,500.0,340,160.0,148.0
Part 106,2021-09-30,309.0,598,289.0,148.0
Part 106,2021-10-02,519.0,0,519.0,148.0
Part 106,2021-10-04,0.0,531,531.0,148.0
Part 108,2021-09-15,1.0,9,8.0,4.0
Part 108,2021-09-16,9.0,30,21.0,4.0
Part 108,2021-09-17,30.0,8,22.0,4.0
Part 108,2021-10-22,0.0,17,17.0,4.0
Part 108,2021-10-25,17.0,22,5.0,4.0
Part 108,2021-10-26,22.0,7,15.0,4.0
Part 109,2021-09-16,0.0,3,3.0,1.0
Part 109,2021-09-17,3.0,1,2.0,1.0
Part 11,2021-10-02,9.0,0,9.0,4.0
Part 11,2021-10-25,2.0,14,12.0,4.0
Part 11,2021-10-26,14.0,2,12.0,4.0
Part 110,2021-10-25,0.0,8,8.0,6.0
Part 110,2021-10-26,8.0,0,8.0,6.0
Part 111,2021-09-29,0.0,3,3.0,1.0
Part 111,2021-09-30,3.0,0,3.0,1.0
Part 112,2021-10-07,0.0,2,2.0,1.0
Part 112,2021-10-08,2.0,0,2.0,1.0
Part 113,2021-10-14,0.0,7,7.0,1.0
Part 113,2021-10-15,7.0,5,2.0,1.0
Part 113,2021-10-16,5.0,0,5.0,1.0
Part 114,2021-10-27,0.0,6,6.0,1.0
Part 114,2021-10-29,5.0,0,5.0,1.0
Part 116,2021-10-20,0.0,3,3.0,1.0
Part 116,2021-10-22,3.0,1,2.0,1.0
Part 116,2021-10-26,2.0,0,2.0,1.0
Part 12,2021-10-02,50.0,0,50.0,36.0
Part 12,2021-10-04,0.0,57,57.0,36.0
Part 15,2021-10-02,45.0,0,45.0,25.0
Part 15,2021-10-04,0.0,52,52.0,25.0
Part 16,2021-09-27,34.0,85,51.0,37.0
Part 16,2021-10-02,68.0,0,68.0,37.0
Part 16,2021-10-04,0.0,57,57.0,37.0
Part 17,2021-10-02,57.0,0,57.0,49.0
Part 17,2021-10-04,0.0,59,59.0,49.0
Part 18,2021-10-02,160.0,0,160.0,97.0
Part 18,2021-10-04,0.0,146,146.0,97.0
Part 19,2021-11-01,0.0,56,56.0,52.0
Part 2,2021-10-02,529.0,0,529.0,216.0
Part 2,2021-10-04,0.0,392,392.0,216.0
Part 21,2021-09-15,0.0,158,158.0,89.0
Part 21,2021-10-02,154.0,0,154.0,89.0
Part 21,2021-10-04,0.0,188,188.0,89.0
Part 21,2021-10-16,130.0,0,130.0,89.0
Part 21,2021-10-18,0.0,181,181.0,89.0
Part 23,2021-10-12,0.0,18,18.0,1.0
Part 23,2021-10-13,18.0,20,2.0,1.0
Part 23,2021-10-14,20.0,1,19.0,1.0
