document_id,part_number,origin_date,target_date,actual,D+3 Plan Reference,recommended_model,recommended_forecast,forecast_gap_vs_plan,forecast_gap_pct,alert_type
part_110__2021_10_29,Part 110,2021-10-26,2021-10-29,5.0,0.0,3-day Moving Average,2.6666667461395264,2.6666667461395264,,within_plan_band
part_114__2021_10_30,Part 114,2021-10-27,2021-10-30,0.0,0.0,CatBoost,1.024372937874908,1.024372937874908,,within_plan_band
part_61__2021_11_01,Part 61,2021-10-29,2021-11-01,110.0,92.0,CatBoost,81.85855902727414,-10.14144097272586,-11.023305405136805,within_plan_band
part_7__2021_11_01,Part 7,2021-10-29,2021-11-01,3.0,1.0,CatBoost,15.344999345674562,14.344999345674562,1434.4999345674562,forecast_above_plan
part_69__2021_11_01,Part 69,2021-10-29,2021-11-01,141.0,57.0,3-day Moving Average,250.6666717529297,193.6666717529297,339.7660907946135,forecast_above_plan
part_68__2021_11_01,Part 68,2021-10-29,2021-11-01,100.0,77.0,3-day Moving Average,166.6666717529297,89.66667175292969,116.45022305575283,forecast_above_plan
part_67__2021_11_01,Part 67,2021-10-29,2021-11-01,110.0,92.0,CatBoost,81.85855902727414,-10.14144097272586,-11.023305405136805,within_plan_band
part_66__2021_11_01,Part 66,2021-10-29,2021-11-01,938.0,761.0,3-day Moving Average,395.0,-366.0,-48.0946123521682,forecast_below_plan
part_65__2021_11_01,Part 65,2021-10-29,2021-11-01,452.0,313.0,3-day Moving Average,310.0,-3.0,-0.9584664536741214,within_plan_band
part_64__2021_11_01,Part 64,2021-10-29,2021-11-01,46.0,36.0,3-day Moving Average,55.66666793823242,19.666667938232422,54.62963316175673,forecast_above_plan
part_63__2021_11_01,Part 63,2021-10-29,2021-11-01,141.0,57.0,3-day Moving Average,250.6666717529297,193.6666717529297,339.7660907946135,forecast_above_plan
part_62__2021_11_01,Part 62,2021-10-29,2021-11-01,100.0,77.0,3-day Moving Average,166.6666717529297,89.66667175292969,116.45022305575283,forecast_above_plan
part_60__2021_11_01,Part 60,2021-10-29,2021-11-01,938.0,761.0,3-day Moving Average,395.0,-366.0,-48.0946123521682,forecast_below_plan
part_5__2021_11_01,Part 5,2021-10-29,2021-11-01,48.0,32.0,CatBoost,44.45247468994283,12.452474689942832,38.91398340607135,forecast_above_plan
part_59__2021_11_01,Part 59,2021-10-29,2021-11-01,48.0,23.0,3-day Moving Average,43.0,20.0,86.95652173913044,forecast_above_plan
part_58__2021_11_01,Part 58,2021-10-29,2021-11-01,67.0,54.0,3-day Moving Average,48.0,-6.0,-11.11111111111111,within_plan_band
part_57__2021_11_01,Part 57,2021-10-29,2021-11-01,9.0,2.0,CatBoost,15.19165384594696,13.19165384594696,659.582692297348,forecast_above_plan
part_56__2021_11_01,Part 56,2021-10-29,2021-11-01,214.0,139.0,3-day Moving Average,175.0,36.0,25.899280575539567,forecast_above_plan
part_55__2021_11_01,Part 55,2021-10-29,2021-11-01,5.0,3.0,3-day Moving Average,3.3333332538604736,0.33333325386047363,11.111108462015789,within_plan_band
part_54__2021_11_01,Part 54,2021-10-29,2021-11-01,109.0,92.0,CatBoost,60.00213274068081,-31.997867259319193,-34.78029049925999,forecast_below_plan
part_53__2021_11_01,Part 53,2021-10-29,2021-11-01,60.0,11.0,3-day Moving Average,119.0,108.0,981.8181818181819,forecast_above_plan
part_52__2021_11_01,Part 52,2021-10-29,2021-11-01,0.0,0.0,CatBoost,0.0850149327245262,0.0850149327245262,,within_plan_band
part_51__2021_11_01,Part 51,2021-10-29,2021-11-01,77.0,59.0,CatBoost,93.6978796976626,34.6978796976626,58.80996558925864,forecast_above_plan
part_50__2021_11_01,Part 50,2021-10-29,2021-11-01,61.0,43.0,3-day Moving Average,63.66666793823242,20.666667938232422,48.062018461005636,forecast_above_plan
part_70__2021_11_01,Part 70,2021-10-29,2021-11-01,46.0,36.0,3-day Moving Average,55.66666793823242,19.666667938232422,54.62963316175673,forecast_above_plan
part_6__2021_11_01,Part 6,2021-10-29,2021-11-01,99.0,79.0,3-day Moving Average,103.33333587646484,24.333335876464844,30.80169098286689,forecast_above_plan
part_71__2021_11_01,Part 71,2021-10-29,2021-11-01,452.0,313.0,3-day Moving Average,310.0,-3.0,-0.9584664536741214,within_plan_band
part_97__2021_11_01,Part 97,2021-10-29,2021-11-01,1.0,0.0,CatBoost,19.133995540585893,19.133995540585893,,forecast_above_plan
part_73__2021_11_01,Part 73,2021-10-29,2021-11-01,44.0,49.0,3-day Moving Average,55.33333206176758,6.333332061767578,12.925167472995058,within_plan_band
part_49__2021_11_01,Part 49,2021-10-29,2021-11-01,1.0,0.0,CatBoost,0.5842784495751623,0.5842784495751623,,within_plan_band
part_95__2021_11_01,Part 95,2021-10-29,2021-11-01,42.0,44.0,3-day Moving Average,213.0,169.0,384.09090909090907,forecast_above_plan
part_94__2021_11_01,Part 94,2021-10-29,2021-11-01,28.0,0.0,CatBoost,31.75430311952029,31.75430311952029,,forecast_above_plan
part_92__2021_11_01,Part 92,2021-10-29,2021-11-01,124.0,102.0,3-day Moving Average,633.3333129882812,531.3333129882812,520.915012733609,forecast_above_plan
part_91__2021_11_01,Part 91,2021-10-29,2021-11-01,78.0,68.0,3-day Moving Average,84.0,16.0,23.52941176470588,forecast_above_plan
part_90__2021_11_01,Part 90,2021-10-29,2021-11-01,17.0,17.0,3-day Moving Average,14.0,-3.0,-17.647058823529413,within_plan_band
part_9__2021_11_01,Part 9,2021-10-29,2021-11-01,3.0,1.0,CatBoost,14.61952643381642,13.61952643381642,1361.952643381642,forecast_above_plan
part_89__2021_11_01,Part 89,2021-10-29,2021-11-01,9.0,6.0,CatBoost,19.342386901551954,13.342386901551954,222.37311502586593,forecast_above_plan
part_88__2021_11_01,Part 88,2021-10-29,2021-11-01,11.0,1.0,CatBoost,19.59987843440968,18.59987843440968,1859.987843440968,forecast_above_plan
part_87__2021_11_01,Part 87,2021-10-29,2021-11-01,17.0,17.0,3-day Moving Average,14.0,-3.0,-17.647058823529413,within_plan_band
part_86__2021_11_01,Part 86,2021-10-29,2021-11-01,3.0,4.0,3-day Moving Average,1.3333333730697632,-2.666666626930237,-66.66666567325592,within_plan_band
part_72__2021_11_01,Part 72,2021-10-29,2021-11-01,35.0,37.0,3-day Moving Average,6.333333492279053,-30.666666507720947,-82.88288245329986,forecast_below_plan
part_85__2021_11_01,Part 85,2021-10-29,2021-11-01,19.0,13.0,CatBoost,16.906354917749645,3.9063549177496455,30.048883982689578,within_plan_band
part_83__2021_11_01,Part 83,2021-10-29,2021-11-01,12.0,10.0,3-day Moving Average,14.333333015441896,4.333333015441896,43.33333015441897,within_plan_band
part_82__2021_11_01,Part 82,2021-10-29,2021-11-01,90.0,81.0,3-day Moving Average,84.33333587646484,3.3333358764648438,4.115229477117091,within_plan_band
part_81__2021_11_01,Part 81,2021-10-29,2021-11-01,370.0,323.0,CatBoost,400.5898905413293,77.58989054132928,24.021637938492038,forecast_above_plan
part_80__2021_11_01,Part 80,2021-10-29,2021-11-01,280.0,242.0,CatBoost,310.3885511748862,68.38855117488617,28.25973189044883,forecast_above_plan
part_8__2021_11_01,Part 8,2021-10-29,2021-11-01,3.0,1.0,CatBoost,14.61952643381642,13.61952643381642,1361.952643381642,forecast_above_plan
part_79__2021_11_01,Part 79,2021-10-29,2021-11-01,14.0,14.0,3-day Moving Average,13.0,-1.0,-7.142857142857142,within_plan_band
part_78__2021_11_01,Part 78,2021-10-29,2021-11-01,44.0,49.0,3-day Moving Average,55.33333206176758,6.333332061767578,12.925167472995058,within_plan_band
part_77__2021_11_01,Part 77,2021-10-29,2021-11-01,30.0,35.0,CatBoost,42.20763201171928,7.2076320117192765,20.593234319197933,within_plan_band
part_76__2021_11_01,Part 76,2021-10-29,2021-11-01,8.0,5.0,CatBoost,3.053384497414495,-1.9466155025855052,-38.932310051710104,within_plan_band
part_75__2021_11_01,Part 75,2021-10-29,2021-11-01,284.0,263.0,3-day Moving Average,247.6666717529297,-15.333328247070312,-5.83016283158567,within_plan_band
part_74__2021_11_01,Part 74,2021-10-29,2021-11-01,179.0,146.0,3-day Moving Average,178.3333282470703,32.33332824707031,22.146115237719393,forecast_above_plan
part_84__2021_11_01,Part 84,2021-10-29,2021-11-01,12.0,10.0,3-day Moving Average,14.333333015441896,4.333333015441896,43.33333015441897,within_plan_band
part_48__2021_11_01,Part 48,2021-10-29,2021-11-01,4.0,0.0,CatBoost,13.443589359489035,13.443589359489035,,forecast_above_plan
part_23__2021_11_01,Part 23,2021-10-29,2021-11-01,0.0,0.0,CatBoost,0.0,0.0,,within_plan_band
part_46__2021_11_01,Part 46,2021-10-29,2021-11-01,0.0,0.0,CatBoost,0.0,0.0,,within_plan_band
part_19__2021_11_01,Part 19,2021-10-29,2021-11-01,56.0,45.0,CatBoost,25.23232495537065,-19.76767504462935,-43.928166765843,forecast_below_plan
part_18__2021_11_01,Part 18,2021-10-29,2021-11-01,130.0,119.0,3-day Moving Average,93.0,-26.0,-21.84873949579832,forecast_below_plan
part_17__2021_11_01,Part 17,2021-10-29,2021-11-01,121.0,105.0,3-day Moving Average,148.0,43.0,40.95238095238095,forecast_above_plan
part_16__2021_11_01,Part 16,2021-10-29,2021-11-01,75.0,70.0,3-day Moving Average,65.66666412353516,-4.333335876464844,-6.190479823521206,within_plan_band
part_15__2021_11_01,Part 15,2021-10-29,2021-11-01,37.0,18.0,CatBoost,31.21414767463584,13.21414767463584,73.41193152575465,forecast_above_plan
part_14__2021_11_01,Part 14,2021-10-29,2021-11-01,57.0,63.0,CatBoost,70.72872459128085,7.7287245912808515,12.267816811556907,within_plan_band
part_13__2021_11_01,Part 13,2021-10-29,2021-11-01,0.0,0.0,3-day Moving Average,2.0,2.0,,within_plan_band
part_12__2021_11_01,Part 12,2021-10-29,2021-11-01,3.0,3.0,CatBoost,1.4066245069841123,-1.5933754930158877,-53.11251643386292,within_plan_band
part_116__2021_11_01,Part 116,2021-10-29,2021-11-01,0.0,0.0,CatBoost,0.087054633276459,0.087054633276459,,within_plan_band
part_113__2021_11_01,Part 113,2021-10-29,2021-11-01,0.0,0.0,3-day Moving Average,0.0,0.0,,within_plan_band
part_112__2021_11_01,Part 112,2021-10-29,2021-11-01,0.0,0.0,3-day Moving Average,0.0,0.0,,within_plan_band
part_2__2021_11_01,Part 2,2021-10-29,2021-11-01,580.0,527.0,CatBoost,588.9240326857779,61.92403268577789,11.750290832215917,within_plan_band
part_11__2021_11_01,Part 11,2021-10-29,2021-11-01,1.0,0.0,3-day Moving Average,0.6666666865348816,0.6666666865348816,,within_plan_band
part_107__2021_11_01,Part 107,2021-10-29,2021-11-01,269.0,281.0,3-day Moving Average,338.0,57.0,20.284697508896798,forecast_above_plan
part_106__2021_11_01,Part 106,2021-10-29,2021-11-01,364.0,335.0,3-day Moving Average,435.0,100.0,29.850746268656714,forecast_above_plan
part_105__2021_11_01,Part 105,2021-10-29,2021-11-01,0.0,0.0,CatBoost,0.087054633276459,0.087054633276459,,within_plan_band
part_104__2021_11_01,Part 104,2021-10-29,2021-11-01,40.0,46.0,CatBoost,96.30686867165844,50.306868671658435,109.36275798186617,forecast_above_plan
part_103__2021_11_01,Part 103,2021-10-29,2021-11-01,82.0,48.0,CatBoost,76.86214302723236,28.862143027232364,60.12946464006742,forecast_above_plan
part_102__2021_11_01,Part 102,2021-10-29,2021-11-01,21.0,0.0,CatBoost,27.24492377073058,27.24492377073058,,forecast_above_plan
part_100__2021_11_01,Part 100,2021-10-29,2021-11-01,0.0,0.0,CatBoost,14.602627350314602,14.602627350314602,,forecast_above_plan
part_10__2021_11_01,Part 10,2021-10-29,2021-11-01,104.0,103.0,CatBoost,160.39278810755627,57.39278810755627,55.72115350248181,forecast_above_plan
part_1__2021_11_01,Part 1,2021-10-29,2021-11-01,0.0,0.0,3-day Moving Average,0.0,0.0,,within_plan_band
part_0__2021_11_01,Part 0,2021-10-29,2021-11-01,0.0,0.0,3-day Moving Average,0.0,0.0,,within_plan_band
part_98__2021_11_01,Part 98,2021-10-29,2021-11-01,0.0,0.0,CatBoost,6.342882475644144,6.342882475644144,,within_plan_band
part_108__2021_11_01,Part 108,2021-10-29,2021-11-01,6.0,3.0,3-day Moving Average,6.666666507720947,3.6666665077209473,122.22221692403157,within_plan_band
part_47__2021_11_01,Part 47,2021-10-29,2021-11-01,15.0,3.0,CatBoost,7.763963217656844,4.763963217656844,158.79877392189482,within_plan_band
part_20__2021_11_01,Part 20,2021-10-29,2021-11-01,14.0,12.0,CatBoost,49.22207333169747,37.22207333169747,310.1839444308123,forecast_above_plan
part_22__2021_11_01,Part 22,2021-10-29,2021-11-01,14.0,23.0,CatBoost,17.44191633327855,-5.558083666721451,-24.165581159658483,within_plan_band
part_45__2021_11_01,Part 45,2021-10-29,2021-11-01,0.0,0.0,3-day Moving Average,0.0,0.0,,within_plan_band
part_44__2021_11_01,Part 44,2021-10-29,2021-11-01,0.0,0.0,CatBoost,1.3405421691659392,1.3405421691659392,,within_plan_band
part_43__2021_11_01,Part 43,2021-10-29,2021-11-01,0.0,0.0,CatBoost,4.2023419165957545,4.2023419165957545,,within_plan_band
part_42__2021_11_01,Part 42,2021-10-29,2021-11-01,32.0,31.0,CatBoost,20.679613502042056,-10.320386497957944,-33.29156934825143,forecast_below_plan
part_41__2021_11_01,Part 41,2021-10-29,2021-11-01,61.0,44.0,CatBoost,41.00440172275782,-2.9955982772421805,-6.808177902823137,within_plan_band
part_40__2021_11_01,Part 40,2021-10-29,2021-11-01,1.0,2.0,CatBoost,1.30104115699066,-0.6989588430093401,-34.94794215046701,within_plan_band
part_4__2021_11_01,Part 4,2021-10-29,2021-11-01,202.0,193.0,CatBoost,319.7314675584849,126.7314675584849,65.66397282823051,forecast_above_plan
part_39__2021_11_01,Part 39,2021-10-29,2021-11-01,61.0,50.0,CatBoost,51.35682691098144,1.3568269109814395,2.713653821962879,within_plan_band
part_38__2021_11_01,Part 38,2021-10-29,2021-11-01,207.0,192.0,CatBoost,102.8079975532209,-89.1920024467791,-46.45416794103078,forecast_below_plan
part_37__2021_11_01,Part 37,2021-10-29,2021-11-01,244.0,199.0,3-day Moving Average,112.66666412353516,-86.33333587646484,-43.383585867570275,forecast_below_plan
part_36__2021_11_01,Part 36,2021-10-29,2021-11-01,1.0,0.0,CatBoost,1.1403569599740244,1.1403569599740244,,within_plan_band
part_21__2021_11_01,Part 21,2021-10-29,2021-11-01,105.0,80.0,3-day Moving Average,175.0,95.0,118.75,forecast_above_plan
part_35__2021_11_01,Part 35,2021-10-29,2021-11-01,2.0,0.0,CatBoost,0.0,0.0,,within_plan_band
part_33__2021_11_01,Part 33,2021-10-29,2021-11-01,36.0,31.0,CatBoost,23.87095756217177,-7.129042437828229,-22.996911089768478,within_plan_band
part_32__2021_11_01,Part 32,2021-10-29,2021-11-01,1.0,1.0,CatBoost,0.6528245030934272,-0.3471754969065728,-34.71754969065728,within_plan_band
part_31__2021_11_01,Part 31,2021-10-29,2021-11-01,41.0,47.0,CatBoost,23.086712028083674,-23.913287971916326,-50.87933611046027,forecast_below_plan
part_30__2021_11_01,Part 30,2021-10-29,2021-11-01,239.0,155.0,3-day Moving Average,133.3333282470703,-21.666671752929688,-13.978497905115928,within_plan_band
part_3__2021_11_01,Part 3,2021-10-29,2021-11-01,60.0,58.0,CatBoost,31.66277954637141,-26.33722045362859,-45.409000782118255,forecast_below_plan
part_29__2021_11_01,Part 29,2021-10-29,2021-11-01,434.0,420.0,3-day Moving Average,421.3333435058594,1.333343505859375,0.3174627394903274,within_plan_band
part_28__2021_11_01,Part 28,2021-10-29,2021-11-01,590.0,528.0,3-day Moving Average,628.0,100.0,18.939393939393938,within_plan_band
part_27__2021_11_01,Part 27,2021-10-29,2021-11-01,203.0,187.0,CatBoost,200.8963932047098,13.896393204709796,7.431226312679034,within_plan_band
part_26__2021_11_01,Part 26,2021-10-29,2021-11-01,132.0,112.0,3-day Moving Average,179.0,67.0,59.82142857142857,forecast_above_plan
part_25__2021_11_01,Part 25,2021-10-29,2021-11-01,30.0,18.0,CatBoost,15.799825130889744,-2.2001748691102563,-12.223193717279202,within_plan_band
part_24__2021_11_01,Part 24,2021-10-29,2021-11-01,187.0,158.0,3-day Moving Average,146.3333282470703,-11.666671752929688,-7.383969463879549,within_plan_band
part_34__2021_11_01,Part 34,2021-10-29,2021-11-01,127.0,102.0,3-day Moving Average,42.66666793823242,-59.33333206176758,-58.169933393889785,forecast_below_plan
part_99__2021_11_01,Part 99,2021-10-29,2021-11-01,11.0,0.0,CatBoost,28.875775263256884,28.875775263256884,,forecast_above_plan
