document_id,part_number,date,actual_d,plan_d1,plan_d2,plan_d3,plan_d4,plan_d5
part_0__2021_09_13,Part 0,2021-09-13,0,0,0,0,0,0
part_0__2021_09_14,Part 0,2021-09-14,0,0,0,0,0,0
part_0__2021_09_15,Part 0,2021-09-15,0,0,0,0,0,1
part_0__2021_09_16,Part 0,2021-09-16,0,0,0,0,1,6
part_0__2021_09_17,Part 0,2021-09-17,0,0,0,0,0,0
part_0__2021_09_18,Part 0,2021-09-18,0,0,0,0,0,0
part_0__2021_09_19,Part 0,2021-09-19,0,0,0,0,0,0
part_0__2021_09_20,Part 0,2021-09-20,0,0,0,0,0,0
part_0__2021_09_21,Part 0,2021-09-21,0,0,0,0,0,0
part_0__2021_09_22,Part 0,2021-09-22,0,0,0,0,0,0
part_0__2021_09_23,Part 0,2021-09-23,0,0,0,0,0,0
part_0__2021_09_24,Part 0,2021-09-24,0,0,0,0,0,0
part_0__2021_09_25,Part 0,2021-09-25,0,0,0,0,0,0
part_0__2021_09_26,Part 0,2021-09-26,0,0,0,0,0,0
part_0__2021_09_27,Part 0,2021-09-27,0,1,3,4,0,0
part_0__2021_09_28,Part 0,2021-09-28,0,0,0,0,0,0
part_0__2021_09_29,Part 0,2021-09-29,0,0,0,0,0,1
part_0__2021_09_30,Part 0,2021-09-30,0,0,0,0,1,1
part_0__2021_10_01,Part 0,2021-10-01,0,0,0,0,2,6
part_0__2021_10_02,Part 0,2021-10-02,0,0,0,0,7,1
part_0__2021_10_03,Part 0,2021-10-03,0,0,0,0,7,1
part_0__2021_10_04,Part 0,2021-10-04,0,0,7,1,0,1
part_0__2021_10_05,Part 0,2021-10-05,0,7,1,0,0,0
part_0__2021_10_06,Part 0,2021-10-06,7,1,0,0,0,0
part_0__2021_10_07,Part 0,2021-10-07,5,0,0,0,0,4
part_0__2021_10_08,Part 0,2021-10-08,1,1,0,0,6,0
part_0__2021_10_09,Part 0,2021-10-09,1,1,0,0,6,0
part_0__2021_10_10,Part 0,2021-10-10,1,1,0,0,6,0
part_0__2021_10_11,Part 0,2021-10-11,1,1,0,0,6,0
part_0__2021_10_12,Part 0,2021-10-12,3,0,4,0,2,0
part_0__2021_10_13,Part 0,2021-10-13,1,0,4,0,0,0
part_0__2021_10_14,Part 0,2021-10-14,0,0,0,0,0,0
part_0__2021_10_15,Part 0,2021-10-15,0,0,0,0,0,0
part_0__2021_10_16,Part 0,2021-10-16,0,0,0,0,0,0
part_0__2021_10_20,Part 0,2021-10-20,0,0,0,0,0,0
part_0__2021_10_21,Part 0,2021-10-21,0,0,0,0,0,0
part_0__2021_10_22,Part 0,2021-10-22,0,0,0,0,0,0
part_0__2021_10_23,Part 0,2021-10-23,0,0,0,0,0,0
part_0__2021_10_24,Part 0,2021-10-24,0,0,0,0,0,0
part_0__2021_10_25,Part 0,2021-10-25,0,0,0,0,0,0
part_0__2021_10_26,Part 0,2021-10-26,0,0,0,0,0,0
part_0__2021_10_27,Part 0,2021-10-27,0,0,0,0,0,0
part_0__2021_10_28,Part 0,2021-10-28,0,0,0,0,0,0
part_0__2021_10_29,Part 0,2021-10-29,0,0,0,0,0,0
part_0__2021_10_30,Part 0,2021-10-30,0,0,0,0,0,0
part_0__2021_11_01,Part 0,2021-11-01,0,0,0,0,3,2
part_1__2021_09_13,Part 1,2021-09-13,0,0,0,0,0,0
part_1__2021_09_14,Part 1,2021-09-14,0,0,0,0,0,0
part_1__2021_09_15,Part 1,2021-09-15,0,0,2,0,0,2
