document_id,part_number,Model,N,Actual_Total,Actual_Mean,Zero_Actual_Count,Over_Prediction_Count,Exact_Count,Under_Prediction_Count,MAE,RMSE,WAPE_pct,Forecast_Bias,R2
part_0__xgboost,Part 0,XGBoost,7,0.0,0.0,7,0,7,0,0.0,0.0,,0.0,
part_0__lightgbm,Part 0,LightGBM,7,0.0,0.0,7,0,7,0,0.0,0.0,,0.0,
part_0__catboost,Part 0,CatBoost,7,0.0,0.0,7,5,2,0,0.0700853439960031,0.08492800372011132,,0.0700853439960031,
part_0__lstm,Part 0,LSTM,7,0.0,0.0,7,6,1,0,0.8015431771428572,1.0054737207364632,,0.8015431771428572,
part_0__3_day_moving_average,Part 0,3-day Moving Average,7,0.0,0.0,7,0,7,0,0.0,0.0,,0.0,
part_0__d_3_plan_reference,Part 0,D+3 Plan Reference,7,0.0,0.0,7,0,7,0,0.0,0.0,,0.0,
part_1__xgboost,Part 1,XGBoost,7,0.0,0.0,7,0,7,0,0.0,0.0,,0.0,
part_1__lightgbm,Part 1,LightGBM,7,0.0,0.0,7,7,0,0,0.0020344806840643576,0.002261272347792798,,0.0020344806840643576,
part_1__catboost,Part 1,CatBoost,7,0.0,0.0,7,5,2,0,0.0700853439960031,0.08492800372011132,,0.0700853439960031,
part_1__lstm,Part 1,LSTM,7,0.0,0.0,7,7,0,0,1.62408298,1.7522396363953523,,1.62408298,
part_1__3_day_moving_average,Part 1,3-day Moving Average,7,0.0,0.0,7,0,7,0,0.0,0.0,,0.0,
part_1__d_3_plan_reference,Part 1,D+3 Plan Reference,7,0.0,0.0,7,0,7,0,0.0,0.0,,0.0,
part_10__xgboost,Part 10,XGBoost,9,1026.0,114.0,0,2,0,7,36.314149,41.469671297890145,31.854516666666665,-29.052822999999997,0.5000774309432984
part_10__lightgbm,Part 10,LightGBM,9,1026.0,114.0,0,2,0,7,21.563528917512073,23.936856840381907,18.915376243431645,-16.63823277537985,0.8334380478497273
part_10__catboost,Part 10,CatBoost,9,1026.0,114.0,0,4,0,5,45.797331884389514,51.310341491915494,40.17309814420133,-4.391255939535167,0.23466536511134162
part_10__lstm,Part 10,LSTM,9,1026.0,114.0,0,4,0,5,56.87852022222222,60.63848883147198,49.893438791423,-12.230001111111113,-0.0689030022571373
part_10__3_day_moving_average,Part 10,3-day Moving Average,9,1026.0,114.0,0,4,0,5,97.51851908365886,109.34479386354012,85.54256059970075,-10.407407972547743,-2.475663937517465
part_10__d_3_plan_reference,Part 10,D+3 Plan Reference,9,1026.0,114.0,0,2,0,7,30.555555555555557,39.56569782582439,26.803118908382068,-25.22222222222222,0.5449289405684754
part_100__xgboost,Part 100,XGBoost,9,113.0,12.555555555555555,3,5,0,4,10.785015111111111,14.277991957813931,85.89835044247786,-7.648378333333331,-0.22789599956419893
part_100__lightgbm,Part 100,LightGBM,9,113.0,12.555555555555555,3,5,0,4,10.390490502840613,12.42184660152647,82.75611904917304,-4.766861810906566,0.07060647588189828
part_100__catboost,Part 100,CatBoost,9,113.0,12.555555555555555,3,5,0,4,12.551467961713568,14.295399713718467,99.96744394285143,-4.295040998958893,-0.2308919312145703
part_100__lstm,Part 100,LSTM,9,113.0,12.555555555555555,3,5,0,4,11.31495048888889,15.555921228902532,90.11907469026549,-9.1107984,-0.45753431794061994
part_100__3_day_moving_average,Part 100,3-day Moving Average,9,113.0,12.555555555555555,3,5,0,4,18.14814810289277,20.383968455351997,144.54277250091587,-2.2962964276472726,-1.5026769608188286
part_100__d_3_plan_reference,Part 100,D+3 Plan Reference,9,113.0,12.555555555555555,3,0,4,5,9.0,13.32916601542147,71.68141592920354,-9.0,-0.07012195121951215
part_102__xgboost,Part 102,XGBoost,9,243.0,27.0,0,2,0,7,20.130473655555555,29.813327372385935,74.55730983539095,-19.81846138888889,-0.6141062149147511
part_102__lightgbm,Part 102,LightGBM,9,243.0,27.0,0,0,0,9,19.89577274916351,28.619273325588022,73.68804721912412,-19.89577274916351,-0.4874021895000862
part_102__catboost,Part 102,CatBoost,9,243.0,27.0,0,3,0,6,21.173630888677913,30.545308329531842,78.42085514325152,-18.307951418565203,-0.6943387305317807
part_102__lstm,Part 102,LSTM,9,243.0,27.0,0,1,0,8,24.321737399999996,33.80571195709759,90.08050888888887,-24.085753555555552,-1.07535017117358
part_102__3_day_moving_average,Part 102,3-day Moving Average,9,243.0,27.0,0,5,0,4,27.148148165808784,32.83197023639306,100.54869691040291,-11.07407416237725,-0.9575150174395883
part_102__d_3_plan_reference,Part 102,D+3 Plan Reference,9,243.0,27.0,0,0,0,9,22.444444444444443,30.41929212413289,83.1275720164609,-22.444444444444443,-0.6803874092009685
part_103__xgboost,Part 103,XGBoost,9,1391.0,154.55555555555554,0,3,0,6,88.57305255555555,104.64943255083222,57.30822954708843,0.5529452222222189,0.00535539420382658
part_103__lightgbm,Part 103,LightGBM,9,1391.0,154.55555555555554,0,3,0,6,105.43042270408544,125.18820012874917,68.21522676756068,-24.035551203526126,-0.42338035356869774
part_103__catboost,Part 103,CatBoost,9,1391.0,154.55555555555554,0,3,0,6,93.24911732584961,115.60704801375857,60.333720771577745,2.6684732043545143,-0.21384378681893512
part_103__lstm,Part 103,LSTM,9,1391.0,154.55555555555554,0,2,0,7,79.530645,114.19208892855995,51.45764234363768,-70.26188944444445,-0.18431222257976665
part_103__3_day_moving_average,Part 103,3-day Moving Average,9,1391.0,154.55555555555554,0,6,0,3,93.9259262084961,127.747629814098,60.77162730959489,-9.111110263400608,-0.48217634705993095
part_103__d_3_plan_reference,Part 103,D+3 Plan Reference,9,1391.0,154.55555555555554,0,2,0,7,84.88888888888889,111.73977706160764,54.92451473759885,-15.333333333333334,-0.13399144248795736
part_104__xgboost,Part 104,XGBoost,9,350.0,38.888888888888886,0,7,0,2,26.573827611111113,37.62375010562906,68.33269957142858,6.216017611111112,-0.11862704715001571
part_104__lightgbm,Part 104,LightGBM,9,350.0,38.888888888888886,0,5,0,4,25.223587233020517,33.79123483840511,64.8606528849099,-6.760264738410508,0.09766193459274419
part_104__catboost,Part 104,CatBoost,9,350.0,38.888888888888886,0,6,0,3,40.5438218565558,48.1100827701671,104.25554191685778,8.052167658539117,-0.8290827824033036
part_104__lstm,Part 104,LSTM,9,350.0,38.888888888888886,0,5,0,4,39.28654044444444,49.206752555656834,101.02253257142854,-4.806585555555554,-0.9134211147606328
part_104__3_day_moving_average,Part 104,3-day Moving Average,9,350.0,38.888888888888886,0,6,0,3,69.92592525482178,86.10759754095228,179.80952208382743,28.222221480475532,-4.8592779189877415
part_104__d_3_plan_reference,Part 104,D+3 Plan Reference,9,350.0,38.888888888888886,0,4,0,5,24.333333333333332,37.82562329661968,62.57142857142857,-13.222222222222221,-0.13066341463414632
part_105__xgboost,Part 105,XGBoost,9,72.0,8.0,6,5,2,2,10.700208728888889,15.44810875527697,133.7526091111111,-2.042148817777777,-0.2259112882612926
part_105__lightgbm,Part 105,LightGBM,9,72.0,8.0,6,6,1,2,8.047851089888752,14.170541318277346,100.5981386236094,-4.829390488621491,-0.03152863657365801
part_105__catboost,Part 105,CatBoost,9,72.0,8.0,6,7,0,2,12.328020376662758,16.39332640501181,154.10025470828447,-0.6886209481994435,-0.3805196093557741
part_105__lstm,Part 105,LSTM,9,72.0,8.0,6,6,0,3,10.141611766666664,15.426742957089436,126.7701470833333,-4.148058522222223,-0.2225225938224753
part_105__3_day_moving_average,Part 105,3-day Moving Average,9,72.0,8.0,6,6,1,2,17.222222261958652,20.330904549507565,215.27777827448315,6.777777817514208,-1.1233510948691134
part_105__d_3_plan_reference,Part 105,D+3 Plan Reference,9,72.0,8.0,6,2,4,3,8.11111111111111,16.06583676971452,101.38888888888889,-7.666666666666667,-0.3259132420091324
part_106__xgboost,Part 106,XGBoost,9,4285.0,476.1111111111111,0,6,0,3,76.50469111111109,95.55525600717606,16.068663243873974,-0.022873333333336632,-0.6803486199933506
part_106__lightgbm,Part 106,LightGBM,9,4285.0,476.1111111111111,0,3,0,6,105.30682898284648,133.78762426272803,22.118120439804397,-52.19837001311993,-2.2939887874764997
part_106__catboost,Part 106,CatBoost,9,4285.0,476.1111111111111,0,6,0,3,134.8572258380267,147.9763809794158,28.324738215688217,38.68607858340523,-3.029721535563321
part_106__lstm,Part 106,LSTM,9,4285.0,476.1111111111111,0,0,0,9,242.2158233333333,258.0530323045567,50.87380186697782,-242.2158233333333,-11.254854697571032
