part_number,daily_rows,first_date,last_date,valid_sequence_count,excluded,exclusion_reason,test_rows,test_start,test_end,actual_total,actual_mean,actual_zero_count,recommended_model,recommended_model_test_mae,document_id,has_test_data
Part 115,14,2021-09-30,2021-10-16,5,True,valid_sequence_count < 10,,,,,,,,,part_115,False
Part 109,15,2021-09-13,2021-09-27,10,False,,,,,,,,,,part_109,False
Part 45,21,2021-09-13,2021-11-01,11,False,,1.0,2021-11-01,2021-11-01,0.0,0.0,1.0,3-day Moving Average,0.0,part_45,True
Part 111,23,2021-09-16,2021-10-08,18,False,,,,,,,,,,part_111,False
Part 116,24,2021-10-08,2021-11-01,19,False,,9.0,2021-10-23,2021-11-01,4.0,0.4444444444444444,6.0,CatBoost,0.44240887220052294,part_116,True
Part 93,38,2021-09-13,2021-10-29,25,False,,,,,,,,,,part_93,False
Part 96,38,2021-09-13,2021-10-29,25,False,,,,,,,,,,part_96,False
Part 112,36,2021-09-17,2021-11-01,26,False,,5.0,2021-10-27,2021-11-01,0.0,0.0,5.0,3-day Moving Average,0.0,part_112,True
Part 101,32,2021-09-13,2021-10-14,27,False,,,,,,,,,,part_101,False
Part 114,33,2021-09-28,2021-10-30,28,False,,8.0,2021-10-23,2021-10-30,11.0,1.375,6.0,CatBoost,1.3991683842199167,part_114,True
Part 110,40,2021-09-14,2021-10-29,29,False,,3.0,2021-10-27,2021-10-29,10.0,3.3333333333333335,1.0,3-day Moving Average,1.5555555025736492,part_110,True
Part 23,39,2021-09-13,2021-11-01,29,False,,9.0,2021-10-23,2021-11-01,5.0,0.5555555555555556,4.0,CatBoost,0.43986804122984247,part_23,True
Part 113,35,2021-09-27,2021-11-01,30,False,,9.0,2021-10-23,2021-11-01,0.0,0.0,9.0,3-day Moving Average,0.037037038140826754,part_113,True
Part 0,46,2021-09-13,2021-11-01,36,False,,7.0,2021-10-25,2021-11-01,0.0,0.0,7.0,3-day Moving Average,0.0,part_0,True
Part 1,46,2021-09-13,2021-11-01,36,False,,7.0,2021-10-25,2021-11-01,0.0,0.0,7.0,3-day Moving Average,0.0,part_1,True
Part 10,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,1026.0,114.0,0.0,CatBoost,45.797331884389514,part_10,True
Part 100,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,113.0,12.555555555555555,3.0,CatBoost,12.551467961713568,part_100,True
Part 102,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,243.0,27.0,0.0,CatBoost,21.173630888677913,part_102,True
Part 103,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,1391.0,154.55555555555554,0.0,CatBoost,93.24911732584961,part_103,True
Part 104,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,350.0,38.888888888888886,0.0,CatBoost,40.5438218565558,part_104,True
Part 105,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,72.0,8.0,6.0,CatBoost,12.328020376662758,part_105,True
Part 106,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,4285.0,476.1111111111111,0.0,3-day Moving Average,57.296298556857636,part_106,True
Part 107,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,2584.0,287.1111111111111,0.0,3-day Moving Average,87.1111085679796,part_107,True
Part 108,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,95.0,10.555555555555555,0.0,3-day Moving Average,10.259259117974175,part_108,True
Part 11,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,24.0,2.6666666666666665,1.0,3-day Moving Average,3.2962962720129223,part_11,True
Part 12,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,5.0,0.5555555555555556,6.0,CatBoost,0.5498502225754629,part_12,True
Part 13,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,15.0,1.6666666666666667,4.0,3-day Moving Average,1.518518520726098,part_13,True
Part 14,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,693.0,77.0,0.0,CatBoost,19.291417154145627,part_14,True
Part 15,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,259.0,28.77777777777778,0.0,CatBoost,7.82213818621028,part_15,True
Part 16,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,565.0,62.77777777777778,0.0,3-day Moving Average,7.22222179836697,part_16,True
Part 17,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,1334.0,148.22222222222223,0.0,3-day Moving Average,15.555555555555555,part_17,True
Part 18,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,850.0,94.44444444444444,0.0,3-day Moving Average,15.925925360785591,part_18,True
Part 19,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,63.0,7.0,6.0,CatBoost,7.714773855817709,part_19,True
Part 2,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,5728.0,636.4444444444445,0.0,CatBoost,64.11519898971274,part_2,True
Part 20,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,453.0,50.333333333333336,0.0,CatBoost,17.872219975573344,part_20,True
Part 21,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,1533.0,170.33333333333334,0.0,3-day Moving Average,29.888890584309895,part_21,True
Part 22,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,206.0,22.88888888888889,0.0,CatBoost,15.038015172553466,part_22,True
Part 24,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,1673.0,185.88888888888889,0.0,3-day Moving Average,84.0370356241862,part_24,True
Part 25,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,242.0,26.88888888888889,0.0,CatBoost,8.627163277264357,part_25,True
Part 26,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,1677.0,186.33333333333334,0.0,3-day Moving Average,32.51851908365885,part_26,True
Part 27,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,1675.0,186.11111111111111,0.0,CatBoost,18.737221133362496,part_27,True
Part 28,49,2021-09-13,2021-11-01,44,False,,9.0,2021-10-23,2021-11-01,5486.0,609.5555555555555,0.0,3-day Moving Average,26.66665988498264,part_28,True
