column_position,column_name,pandas_dtype,row_count,non_null_count,missing_count,unique_count,constant_column,numeric_parse_count,numeric_min,numeric_max
0,Part Number,str,17364,17364,0,117,False,0,,
1,D일06~08(08)H 투입계획(발주) 수량,int64,17364,17364,0,192,False,17364,0.0,404.0
2,D일08~10(10)H 투입계획(발주) 수량,int64,17364,17364,0,90,False,17364,0.0,110.0
3,D일10~12(13)H 투입계획(발주) 수량,int64,17364,17364,0,106,False,17364,0.0,137.0
4,D일13~15(15)H 투입계획(발주) 수량,int64,17364,17364,0,99,False,17364,0.0,123.0
5,D일15~17(18)H 투입계획(발주) 수량,int64,17364,17364,0,90,False,17364,0.0,111.0
6,D일18~20(21)H 투입계획(발주) 수량,int64,17364,17364,0,103,False,17364,0.0,140.0
7,D일21~23(23)H 투입계획(발주) 수량,int64,17364,17364,0,88,False,17364,0.0,109.0
8,D일23~01(02)H 투입계획(발주) 수량,int64,17364,17364,0,60,False,17364,0.0,65.0
9,D일 02~04H 투입계획 수량,int64,17364,17364,0,1,True,17364,0.0,0.0
10,D일 04~06H 투입계획 수량,int64,17364,17364,0,1,True,17364,0.0,0.0
11,D일 투입예정 수량(D일계획),int64,17364,17364,0,481,False,17364,0.0,1131.0
12,D+1일 투입예정 수량(D+1일),int64,17364,17364,0,101,False,17364,0.0,146.0
13,D+1일 투입예정 수량(D+1일).1,int64,17364,17364,0,85,False,17364,0.0,106.0
14,D+1일 투입예정 수량(D+1일).2,int64,17364,17364,0,100,False,17364,0.0,136.0
15,D+1일 투입예정 수량(D+1일).3,int64,17364,17364,0,92,False,17364,0.0,117.0
16,D+1일 투입예정 수량(D+1일).4,int64,17364,17364,0,89,False,17364,0.0,104.0
17,D+1일 투입예정 수량(D+1일).5,int64,17364,17364,0,101,False,17364,0.0,136.0
18,D+1일 투입예정 수량(D+1일).6,int64,17364,17364,0,80,False,17364,0.0,106.0
19,D+1일 투입예정 수량(D+1일).7,int64,17364,17364,0,58,False,17364,0.0,65.0
20,D+1일 투입예정 수량(D+1일).8,int64,17364,17364,0,1,True,17364,0.0,0.0
21,D+1일 투입예정 수량(D+1일).9,int64,17364,17364,0,1,True,17364,0.0,0.0
22,D+1일 투입예정 수량(Total),int64,17364,17364,0,366,False,17364,0.0,883.0
23,D+2일 투입예정 수량(과부족수량),int64,17364,17364,0,106,False,17364,0.0,318.0
24,D+2일 투입예정 수량(과부족수량).1,int64,17364,17364,0,85,False,17364,0.0,107.0
25,D+2일 투입예정 수량(과부족수량).2,int64,17364,17364,0,102,False,17364,0.0,136.0
26,D+2일 투입예정 수량(과부족수량).3,int64,17364,17364,0,88,False,17364,0.0,117.0
27,D+2일 투입예정 수량(과부족수량).4,int64,17364,17364,0,84,False,17364,0.0,110.0
28,D+2일 투입예정 수량(과부족수량).5,int64,17364,17364,0,94,False,17364,0.0,139.0
29,D+2일 투입예정 수량(과부족수량).6,int64,17364,17364,0,81,False,17364,0.0,107.0
30,D+2일 투입예정 수량(과부족수량).7,int64,17364,17364,0,56,False,17364,0.0,66.0
31,D+2일 투입예정 수량(과부족수량).8,int64,17364,17364,0,1,True,17364,0.0,0.0
32,D+2일 투입예정 수량(과부족수량).9,int64,17364,17364,0,1,True,17364,0.0,0.0
33,D+2일 투입예정 수량(Total),int64,17364,17364,0,360,False,17364,0.0,885.0
34,D+3일 투입예정 수량(과부족수량),int64,17364,17364,0,92,False,17364,0.0,124.0
35,D+3일 투입예정 수량(과부족수량).1,int64,17364,17364,0,80,False,17364,0.0,109.0
36,D+3일 투입예정 수량(과부족수량).2,int64,17364,17364,0,98,False,17364,0.0,138.0
37,D+3일 투입예정 수량(과부족수량).3,int64,17364,17364,0,93,False,17364,0.0,122.0
38,D+3일 투입예정 수량(과부족수량).4,int64,17364,17364,0,81,False,17364,0.0,103.0
39,D+3일 투입예정 수량(과부족수량).5,int64,17364,17364,0,93,False,17364,0.0,132.0
40,D+3일 투입예정 수량(과부족수량).6,int64,17364,17364,0,82,False,17364,0.0,103.0
41,D+3일 투입예정 수량(과부족수량).7,int64,17364,17364,0,56,False,17364,0.0,65.0
42,D+3일 투입예정 수량(과부족수량).8,int64,17364,17364,0,1,True,17364,0.0,0.0
43,D+3일 투입예정 수량(과부족수량).9,int64,17364,17364,0,1,True,17364,0.0,0.0
44,D+3일 투입예정 수량(Total),int64,17364,17364,0,372,False,17364,0.0,872.0
45,D+4일 투입예정 수량(과부족수량),int64,17364,17364,0,88,False,17364,0.0,123.0
46,D+4일 투입예정 수량(과부족수량).1,int64,17364,17364,0,81,False,17364,0.0,106.0
47,D+4일 투입예정 수량(과부족수량).2,int64,17364,17364,0,94,False,17364,0.0,133.0
48,D+4일 투입예정 수량(과부족수량).3,int64,17364,17364,0,84,False,17364,0.0,116.0
49,D+4일 투입예정 수량(과부족수량).4,int64,17364,17364,0,79,False,17364,0.0,102.0
50,D+4일 투입예정 수량(과부족수량).5,int64,17364,17364,0,100,False,17364,0.0,137.0
51,D+4일 투입예정 수량(과부족수량).6,int64,17364,17364,0,81,False,17364,0.0,108.0
52,D+4일 투입예정 수량(과부족수량).7,int64,17364,17364,0,57,False,17364,0.0,66.0
53,D+4일 투입예정 수량(과부족수량).8,int64,17364,17364,0,1,True,17364,0.0,0.0
54,D+4일 투입예정 수량(과부족수량).9,int64,17364,17364,0,1,True,17364,0.0,0.0
55,D+4일 투입예정 수량(Total),int64,17364,17364,0,373,False,17364,0.0,865.0
56,D+5일 투입예정 수량,int64,17364,17364,0,381,False,17364,0.0,863.0
57,D+6일 투입예정 수량,int64,17364,17364,0,365,False,17364,0.0,909.0
58,D+7일 투입예정 수량,int64,17364,17364,0,411,False,17364,0.0,912.0
59,D+8일 투입예정 수량,int64,17364,17364,0,385,False,17364,0.0,909.0
60,D+9일 투입예정 수량,int64,17364,17364,0,377,False,17364,0.0,886.0
61,D+10일 투입예정 수량,int64,17364,17364,0,378,False,17364,0.0,839.0
62,D+11일 투입예정 수량,int64,17364,17364,0,369,False,17364,0.0,896.0
63,D+12일 투입예정 수량,int64,17364,17364,0,383,False,17364,0.0,794.0
64,D+13일 투입예정 수량,int64,17364,17364,0,386,False,17364,0.0,926.0
65,D+14일 투입예정 수량,int64,17364,17364,0,387,False,17364,0.0,969.0
66,D+15일 투입예정 수량,int64,17364,17364,0,341,False,17364,0.0,973.0
67,D+16일 투입예정 수량,int64,17364,17364,0,283,False,17364,0.0,851.0
68,D+17일 투입예정 수량,int64,17364,17364,0,256,False,17364,0.0,985.0
69,D+18일 투입예정 수량,int64,17364,17364,0,238,False,17364,0.0,1030.0
70,D+19일 투입예정 수량,int64,17364,17364,0,214,False,17364,0.0,1030.0
71,D+20일 투입예정 수량,int64,17364,17364,0,218,False,17364,0.0,976.0
72,D+21일 투입예정 수량,int64,17364,17364,0,217,False,17364,0.0,976.0
73,D+22일 투입예정 수량,int64,17364,17364,0,155,False,17364,0.0,976.0
74,D+23일 투입예정 수량,int64,17364,17364,0,114,False,17364,0.0,811.0
75,D+24일 투입예정 수량,int64,17364,17364,0,125,False,17364,0.0,798.0
76,D+25일 투입예정 수량,int64,17364,17364,0,109,False,17364,0.0,601.0
77,D+26일 투입예정 수량,int64,17364,17364,0,85,False,17364,0.0,846.0
78,D+27일 투입예정 수량,int64,17364,17364,0,73,False,17364,0.0,753.0
79,D+28일 투입예정 수량,int64,17364,17364,0,58,False,17364,0.0,544.0
80,D+29일 투입예정 수량,int64,17364,17364,0,33,False,17364,0.0,338.0
81,D+30일 투입예정 수량,int64,17364,17364,0,30,False,17364,0.0,302.0
82,D+31~D+45일 투입예정 수량,int64,17364,17364,0,22,False,17364,0.0,320.0
83,CRET_TIME,int64,17364,17364,0,153,False,17364,202109131830.0,202111010703.0
