document_id,Scenario,part_number,origin_date,target_date,actual,plan_d3_reference,moving_average_3d,XGBoost,LightGBM,CatBoost,LSTM,3-day Moving Average,D+3 Plan Reference,Part_Actual_P90,XGBoost_Absolute_Error,LightGBM_Absolute_Error,CatBoost_Absolute_Error,LSTM_Absolute_Error,3-day Moving Average_Absolute_Error,D+3 Plan Reference_Absolute_Error
part_10__2021_10_28,source_total,Part 10,2021-10-25,2021-10-28,178.0,136.0,38.66666793823242,136.03746,147.88055408705844,126.40691016664088,90.33421,38.66666793823242,136.0,167.8,41.96253999999999,30.119445912941558,51.593089833359116,87.66579,139.33333206176758,42.0
part_100__2021_10_28,source_total,Part 100,2021-10-25,2021-10-28,33.0,18.0,0.3333333432674408,11.26857,12.447057943955947,11.234998790124203,7.078454,0.3333333432674408,18.0,29.400000000000002,21.73143,20.552942056044053,21.7650012098758,25.921546,32.66666665673256,15.0
part_102__2021_10_28,source_total,Part 102,2021-10-25,2021-10-28,71.0,7.0,5.0,4.138195,5.727906869825903,7.256449427447361,5.093751,5.0,7.0,58.400000000000006,66.861805,65.2720931301741,63.743550572552635,65.906249,66.0,64.0
part_103__2021_10_25,source_total,Part 103,2021-10-22,2021-10-25,387.0,345.0,118.0,254.57973,252.0946844122166,225.25431594133792,59.28495,118.0,345.0,334.8,132.42027,134.9053155877834,161.74568405866208,327.71505,269.0,42.0
part_104__2021_10_29,source_total,Part 104,2021-10-26,2021-10-29,102.0,125.0,16.0,82.05702,72.28108276354453,58.52334064522287,9.055109,16.0,125.0,102.0,19.942980000000006,29.718917236455468,43.47665935477713,92.944891,86.0,23.0
part_104__2021_10_30,source_total,Part 104,2021-10-27,2021-10-30,102.0,0.0,8.333333015441895,32.686665,12.019243511479,40.35551733583988,0.0,8.333333015441895,0.0,102.0,69.313335,89.980756488521,61.64448266416012,102.0,93.6666669845581,102.0
part_105__2021_10_25,source_total,Part 105,2021-10-22,2021-10-25,4.0,1.0,16.0,16.320047,16.101622984086465,15.787253296807869,3.9293451,16.0,1.0,1.6000000000000014,12.320046999999999,12.101622984086465,11.787253296807869,0.07065490000000008,12.0,3.0
part_106__2021_10_25,source_total,Part 106,2021-10-22,2021-10-25,549.0,477.0,546.3333129882812,599.2874,577.4806578827256,556.5448752139743,203.63249,546.3333129882812,477.0,522.6,50.28740000000005,28.48065788272561,7.544875213974251,345.36751000000004,2.66668701171875,72.0
part_107__2021_10_28,source_total,Part 107,2021-10-25,2021-10-28,392.0,298.0,242.6666717529297,210.41386,222.14423497713423,233.1231950625772,180.18208,242.6666717529297,298.0,350.6,181.58614,169.85576502286577,158.8768049374228,211.81792,149.3333282470703,94.0
part_108__2021_10_25,source_total,Part 108,2021-10-22,2021-10-25,22.0,72.0,5.666666507720947,59.416958,55.18116841683614,36.14656068175656,6.158842,5.666666507720947,72.0,13.000000000000005,37.416958,33.18116841683614,14.146560681756561,15.841158,16.333333492279053,50.0
part_11__2021_10_25,source_total,Part 11,2021-10-22,2021-10-25,14.0,8.0,2.0,7.525857,10.289263944455522,6.394646730720595,1.8664234,2.0,8.0,6.800000000000004,6.474143,3.710736055544478,7.605353269279405,12.1335766,12.0,6.0
part_110__2021_10_28,source_total,Part 110,2021-10-25,2021-10-28,5.0,1.0,2.6666667461395264,3.1602457,5.183072169494375,4.308578179104803,2.9975898,2.6666667461395264,1.0,5.0,1.8397543,0.1830721694943751,0.6914218208951972,2.0024102,2.3333332538604736,4.0
part_110__2021_10_29,source_total,Part 110,2021-10-26,2021-10-29,5.0,0.0,2.6666667461395264,1.2904345,0.2403143355012374,1.6107428439766984,0.15460223,2.6666667461395264,0.0,5.0,3.7095655,4.759685664498763,3.3892571560233016,4.84539777,2.3333332538604736,5.0
part_114__2021_10_27,source_total,Part 114,2021-10-24,2021-10-27,6.0,0.0,0.0,2.6975236,3.0817420950518235,1.9556864597530852,1.8496451,0.0,0.0,5.5,3.3024764,2.9182579049481765,4.044313540246915,4.1503549,6.0,6.0
part_116__2021_10_25,source_total,Part 116,2021-10-22,2021-10-25,2.0,1.0,2.3333332538604736,1.8688581,1.560076022519896,0.0,0.9911201,2.3333332538604736,1.0,0.8000000000000007,0.13114190000000003,0.43992397748010403,2.0,1.0088799000000002,0.33333325386047363,1.0
part_12__2021_11_01,source_total,Part 12,2021-10-29,2021-11-01,3.0,3.0,0.0,2.5460234,2.239069460446523,1.900447524723301,0.0,0.0,3.0,1.200000000000001,0.45397659999999984,0.7609305395534771,1.099552475276699,3.0,3.0,0.0
part_13__2021_10_25,source_total,Part 13,2021-10-22,2021-10-25,5.0,3.0,0.6666666865348816,2.9849198,2.597578600561828,3.2645047577480746,2.3209023,0.6666666865348816,3.0,4.4,2.0150802,2.402421399438172,1.7354952422519254,2.6790977,4.333333313465118,2.0
part_14__2021_10_27,source_total,Part 14,2021-10-24,2021-10-27,95.0,68.0,99.0,95.29376,100.41140365692765,123.52831186336424,115.6221,99.0,68.0,89.0,0.293760000000006,5.4114036569276465,28.528311863364237,20.622100000000003,4.0,27.0
part_15__2021_10_29,source_total,Part 15,2021-10-26,2021-10-29,39.0,40.0,27.0,42.74353,34.75437822244291,33.61165271994655,6.3921237,27.0,40.0,39.0,3.74353,4.245621777557091,5.388347280053452,32.6078763,12.0,1.0
part_15__2021_10_30,source_total,Part 15,2021-10-27,2021-10-30,39.0,55.0,27.0,56.86711,45.5222665345957,32.43038086672667,0.55775905,27.0,55.0,39.0,17.867109999999997,6.522266534595701,6.569619133273328,38.44224095,12.0,16.0
part_16__2021_11_01,source_total,Part 16,2021-10-29,2021-11-01,75.0,70.0,65.66666412353516,68.26737,76.07980210595824,74.67467239379678,5.4313736,65.66666412353516,70.0,72.0,6.73263,1.0798021059582368,0.3253276062032171,69.5686264,9.333335876464844,5.0
part_17__2021_10_25,source_total,Part 17,2021-10-22,2021-10-25,170.0,159.0,152.0,182.2041,198.14840129780603,166.83195941592908,25.975107,152.0,159.0,165.2,12.204100000000011,28.148401297806032,3.1680405840709227,144.024893,18.0,11.0
part_18__2021_11_01,source_total,Part 18,2021-10-29,2021-11-01,130.0,119.0,93.0,135.97568,130.2528633703829,133.02165103826695,4.570324,93.0,119.0,109.60000000000001,5.975680000000011,0.2528633703828973,3.0216510382669526,125.429676,37.0,11.0
part_19__2021_11_01,source_total,Part 19,2021-10-29,2021-11-01,56.0,45.0,0.0,44.95208,34.45067948034995,29.30404231916635,1.1459348,0.0,45.0,24.80000000000002,11.047919999999998,21.549320519650053,26.69595768083365,54.8540652,56.0,11.0
part_2__2021_10_26,source_total,Part 2,2021-10-23,2021-10-26,666.0,509.0,717.3333129882812,793.27246,690.5818068083987,661.2840321899632,381.16638,717.3333129882812,509.0,650.4,127.27246000000002,24.58180680839871,4.715967810036773,284.83362,51.33331298828125,157.0
part_20__2021_10_28,source_total,Part 20,2021-10-25,2021-10-28,99.0,91.0,40.66666793823242,64.7588,57.321831828524026,56.34054485926377,59.438908,40.66666793823242,91.0,78.60000000000001,34.241200000000006,41.678168171475974,42.65945514073623,39.561092,58.33333206176758,8.0
part_21__2021_10_26,source_total,Part 21,2021-10-23,2021-10-26,213.0,171.0,177.0,174.68887,191.3010752169972,183.5753128590981,203.21548,177.0,171.0,205.8,38.31112999999999,21.69892478300281,29.42468714090191,9.784519999999986,36.0,42.0
part_22__2021_10_25,source_total,Part 22,2021-10-22,2021-10-25,26.0,16.0,56.66666793823242,47.756,44.34764516494746,47.99323120530339,21.28722,56.66666793823242,16.0,18.800000000000004,21.756,18.34764516494746,21.99323120530339,4.712779999999999,30.666667938232422,10.0
