Fold,Train_Start,Train_End,Validation_Start,Validation_End,Test_Start,Test_End,Model,N,Parts,MAE,RMSE,WAPE_pct,Forecast_Bias,R2
1,2021-09-18,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-10-03,XGBoost,772,112,59.78526854294196,121.28371865883356,79.47896078102873,18.918729560684888,0.445703012069325
1,2021-09-18,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-10-03,LightGBM,772,112,60.94568090334068,138.3859382752895,81.02162121778342,28.15035211777408,0.2783586084080524
1,2021-09-18,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-10-03,CatBoost,772,112,59.1424382518346,123.48932757151616,78.62437762466,18.261160432742177,0.4253593276253357
1,2021-09-18,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-10-03,LSTM,772,112,106.1478115416084,259.45097404609686,141.1136548537509,80.43277454956684,-1.536577413081825
1,2021-09-18,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-10-03,3-day Moving Average,772,112,57.05397241469955,126.91445562182902,75.84795630202348,25.2672713433291,0.3930405290002923
1,2021-09-18,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-10-03,D+3 Plan Reference,772,112,49.29663212435233,141.44563118142207,65.5352930033924,-42.112694300518136,0.2460950653782347
2,2021-09-18,2021-09-30,2021-10-01,2021-10-03,2021-10-04,2021-10-10,XGBoost,768,110,44.75537262608608,93.24525514196024,45.39492086007832,-25.738879101971783,0.6224352192592999
2,2021-09-18,2021-09-30,2021-10-01,2021-10-03,2021-10-04,2021-10-10,LightGBM,768,110,88.27561848958335,168.49132541645116,89.53706516284109,-75.16397786458333,-0.2328013080310085
2,2021-09-18,2021-09-30,2021-10-01,2021-10-03,2021-10-04,2021-10-10,CatBoost,768,110,88.48778615239523,168.73249576193533,89.75226467291732,-75.35434707862926,-0.2363329782565879
2,2021-09-18,2021-09-30,2021-10-01,2021-10-03,2021-10-04,2021-10-10,LSTM,768,110,88.69369198878606,167.59056137211547,89.96111287591813,-74.4143832201759,-0.219655292466534
2,2021-09-18,2021-09-30,2021-10-01,2021-10-03,2021-10-04,2021-10-10,3-day Moving Average,768,110,35.62109375178503,74.97208690506363,36.13011437355834,-24.08723941918773,0.7559171907623975
2,2021-09-18,2021-09-30,2021-10-01,2021-10-03,2021-10-04,2021-10-10,D+3 Plan Reference,768,110,37.630208333333336,90.08979895082462,38.16793893129771,-28.54427083333333,0.6475567245700847
3,2021-09-18,2021-10-05,2021-10-06,2021-10-10,2021-10-11,2021-10-17,XGBoost,769,112,49.70113808388237,96.22430089816346,54.703405259211,-35.71410407968137,0.6322084051967195
3,2021-09-18,2021-10-05,2021-10-06,2021-10-10,2021-10-11,2021-10-17,LightGBM,769,112,63.60790801527485,124.94081054645956,70.00984894908451,-52.68761438947748,0.379929729818264
3,2021-09-18,2021-10-05,2021-10-06,2021-10-10,2021-10-11,2021-10-17,CatBoost,769,112,58.52588046171645,115.58235673559184,64.41633090264492,-50.275514171051135,0.4693412103770669
3,2021-09-18,2021-10-05,2021-10-06,2021-10-10,2021-10-11,2021-10-17,LSTM,769,112,66.40436865485023,143.56925668250005,73.08776477869672,-58.375329124928975,0.1812427195708084
3,2021-09-18,2021-10-05,2021-10-06,2021-10-10,2021-10-11,2021-10-17,3-day Moving Average,769,112,38.56350255295421,86.68089034236398,42.44480085764841,10.043346638913585,0.7015449044070262
3,2021-09-18,2021-10-05,2021-10-06,2021-10-10,2021-10-11,2021-10-17,D+3 Plan Reference,769,112,73.81274382314695,159.533267562091,81.24177019522529,-68.84265279583875,-0.0109619078609823
4,2021-09-18,2021-10-11,2021-10-12,2021-10-17,2021-10-18,2021-10-24,XGBoost,735,105,21.299323643956864,37.953008155231785,18.862358280288564,-3.645002210545702,0.9476804088329358
4,2021-09-18,2021-10-11,2021-10-12,2021-10-17,2021-10-18,2021-10-24,LightGBM,735,105,22.915206225489115,44.190431983965816,20.293359409772155,-6.872980105158679,0.9290702501510412
4,2021-09-18,2021-10-11,2021-10-12,2021-10-17,2021-10-18,2021-10-24,CatBoost,735,105,22.081728698755366,39.22624454074679,19.555244341396204,-9.901332237912705,0.9441111212240412
4,2021-09-18,2021-10-11,2021-10-12,2021-10-17,2021-10-18,2021-10-24,LSTM,735,105,62.09807806553661,126.0017144406147,54.99311699138442,-30.04935580966804,0.4233333406483855
4,2021-09-18,2021-10-11,2021-10-12,2021-10-17,2021-10-18,2021-10-24,3-day Moving Average,735,105,33.708843433492035,66.75287866160613,29.852040970187293,-16.88163277604142,0.8381502875360528
4,2021-09-18,2021-10-11,2021-10-12,2021-10-17,2021-10-18,2021-10-24,D+3 Plan Reference,735,105,40.26938775510204,102.56829813501308,35.661959612511446,-36.74285714285714,0.6178813513343697
5,2021-09-18,2021-10-17,2021-10-18,2021-10-24,2021-10-25,2021-11-01,XGBoost,764,111,33.77079790305951,68.32952186087287,34.6167329879885,-14.12680262670467,0.7723243360177098
5,2021-09-18,2021-10-17,2021-10-18,2021-10-24,2021-10-25,2021-11-01,LightGBM,764,111,32.33627523530147,64.75225707759353,33.14627652150098,-13.119581088924036,0.7955393811866196
5,2021-09-18,2021-10-17,2021-10-18,2021-10-24,2021-10-25,2021-11-01,CatBoost,764,111,29.61490113504053,62.02941562795534,30.35673388589076,5.880204288484355,0.8123730461371141
5,2021-09-18,2021-10-17,2021-10-18,2021-10-24,2021-10-25,2021-11-01,LSTM,764,111,51.04951150834327,104.4109141477779,52.32826639525345,-41.12221077168409,0.4683918325983284
5,2021-09-18,2021-10-17,2021-10-18,2021-10-24,2021-10-25,2021-11-01,3-day Moving Average,764,111,32.21291446170882,67.14105444104153,33.01982564601658,5.0410123190486615,0.7801754649112045
5,2021-09-18,2021-10-17,2021-10-18,2021-10-24,2021-10-25,2021-11-01,D+3 Plan Reference,764,111,30.51439790575916,65.95039187511834,31.278762427381164,-17.05366492146597,0.7879029591987127
