Metric,Value
source_rows,17364
source_columns,84
source_parts,117
source_missing_cells,0
source_exact_duplicate_rows,0
source_start,2021-09-13
source_end,2021-11-01
source_dates,49
selected_rows_with_missing_required_values,0
duplicate_part_timestamp_rows,612
daily_rows_after_last_log,5478
daily_parts_after_last_log,117
negative_quantity_rows,0
stored_total_mismatch_rows.D,31
stored_total_mismatch_rows.D+1,0
stored_total_mismatch_rows.D+2,0
stored_total_mismatch_rows.D+3,149
stored_total_mismatch_rows.D+4,136
sequence_length,3
horizon_days,3
minimum_sequence_count,10
excluded_parts,['Part 115']
eligible_rows,4837
eligible_parts,116
plan_zero_rows,2826
target_zero_rows,1031
unique_target_dates,44
train_target_start,2021-09-18
train_target_end,2021-10-17
validation_target_start,2021-10-18
validation_target_end,2021-10-22
test_target_start,2021-10-23
test_target_end,2021-11-01
train_rows,3331
validation_rows,530
test_rows,976
train_parts,116
validation_parts,106
test_parts,111
