part_number,daily_rows,first_date,last_date,valid_sequence_count,excluded,exclusion_reason
Part 115,14,2021-09-30,2021-10-16,5,True,valid_sequence_count < 10
Part 109,15,2021-09-13,2021-09-27,10,False,
Part 45,21,2021-09-13,2021-11-01,11,False,
Part 111,23,2021-09-16,2021-10-08,18,False,
Part 116,24,2021-10-08,2021-11-01,19,False,
Part 93,38,2021-09-13,2021-10-29,25,False,
Part 96,38,2021-09-13,2021-10-29,25,False,
Part 112,36,2021-09-17,2021-11-01,26,False,
Part 101,32,2021-09-13,2021-10-14,27,False,
Part 114,33,2021-09-28,2021-10-30,28,False,
Part 110,40,2021-09-14,2021-10-29,29,False,
Part 23,39,2021-09-13,2021-11-01,29,False,
Part 113,35,2021-09-27,2021-11-01,30,False,
Part 0,46,2021-09-13,2021-11-01,36,False,
Part 1,46,2021-09-13,2021-11-01,36,False,
Part 10,49,2021-09-13,2021-11-01,44,False,
Part 100,49,2021-09-13,2021-11-01,44,False,
Part 102,49,2021-09-13,2021-11-01,44,False,
Part 103,49,2021-09-13,2021-11-01,44,False,
Part 104,49,2021-09-13,2021-11-01,44,False,
Part 105,49,2021-09-13,2021-11-01,44,False,
Part 106,49,2021-09-13,2021-11-01,44,False,
Part 107,49,2021-09-13,2021-11-01,44,False,
Part 108,49,2021-09-13,2021-11-01,44,False,
Part 11,49,2021-09-13,2021-11-01,44,False,
Part 12,49,2021-09-13,2021-11-01,44,False,
Part 13,49,2021-09-13,2021-11-01,44,False,
Part 14,49,2021-09-13,2021-11-01,44,False,
Part 15,49,2021-09-13,2021-11-01,44,False,
Part 16,49,2021-09-13,2021-11-01,44,False,
Part 17,49,2021-09-13,2021-11-01,44,False,
Part 18,49,2021-09-13,2021-11-01,44,False,
Part 19,49,2021-09-13,2021-11-01,44,False,
Part 2,49,2021-09-13,2021-11-01,44,False,
Part 20,49,2021-09-13,2021-11-01,44,False,
Part 21,49,2021-09-13,2021-11-01,44,False,
Part 22,49,2021-09-13,2021-11-01,44,False,
Part 24,49,2021-09-13,2021-11-01,44,False,
Part 25,49,2021-09-13,2021-11-01,44,False,
Part 26,49,2021-09-13,2021-11-01,44,False,
Part 27,49,2021-09-13,2021-11-01,44,False,
Part 28,49,2021-09-13,2021-11-01,44,False,
Part 29,49,2021-09-13,2021-11-01,44,False,
Part 3,49,2021-09-13,2021-11-01,44,False,
Part 30,49,2021-09-13,2021-11-01,44,False,
Part 31,49,2021-09-13,2021-11-01,44,False,
Part 32,49,2021-09-13,2021-11-01,44,False,
Part 33,49,2021-09-13,2021-11-01,44,False,
Part 34,49,2021-09-13,2021-11-01,44,False,
Part 35,49,2021-09-13,2021-11-01,44,False,
Part 36,49,2021-09-13,2021-11-01,44,False,
Part 37,49,2021-09-13,2021-11-01,44,False,
Part 38,49,2021-09-13,2021-11-01,44,False,
Part 39,49,2021-09-13,2021-11-01,44,False,
Part 4,49,2021-09-13,2021-11-01,44,False,
Part 40,49,2021-09-13,2021-11-01,44,False,
Part 41,49,2021-09-13,2021-11-01,44,False,
Part 42,49,2021-09-13,2021-11-01,44,False,
Part 43,49,2021-09-13,2021-11-01,44,False,
Part 44,49,2021-09-13,2021-11-01,44,False,
Part 46,49,2021-09-13,2021-11-01,44,False,
Part 47,49,2021-09-13,2021-11-01,44,False,
Part 48,49,2021-09-13,2021-11-01,44,False,
Part 49,49,2021-09-13,2021-11-01,44,False,
Part 5,49,2021-09-13,2021-11-01,44,False,
Part 50,49,2021-09-13,2021-11-01,44,False,
Part 51,49,2021-09-13,2021-11-01,44,False,
Part 52,49,2021-09-13,2021-11-01,44,False,
Part 53,49,2021-09-13,2021-11-01,44,False,
