Fold,Train_Target_End,Test_Target_Start,Test_Target_End,N_Test,Model,MAE,RMSE,WAPE_pct,Forecast_Bias,R2
1,2021-10-14,2021-10-15,2021-10-19,533,D+3 Plan Baseline,22.954971857410882,69.69562611948915,26.131994873985477,-15.187617260787993,0.8007318518318667
1,2021-10-14,2021-10-15,2021-10-19,533,3-day Moving Average,41.898061288305186,92.31929822459706,47.6968531966396,20.069418386491556,0.6503674756193354
1,2021-10-14,2021-10-15,2021-10-19,533,XGBoost,35.88699381436461,67.62009688055447,40.853839604990036,14.704504068528509,0.8124235059984052
1,2021-10-14,2021-10-15,2021-10-19,533,LightGBM,34.91976001492834,72.84932343435878,39.752738333953026,19.970821659537098,0.7822902483522661
1,2021-10-14,2021-10-15,2021-10-19,533,LSTM,46.06299898235257,89.06193751003542,52.43822823065767,5.9890720835322515,0.6746048207744284
2,2021-10-19,2021-10-20,2021-10-24,528,D+3 Plan Baseline,49.65340909090909,118.50357205970245,44.328903317439384,-44.89962121212121,0.49272218478965146
2,2021-10-19,2021-10-20,2021-10-24,528,3-day Moving Average,40.48674242424242,76.41739091777562,36.145209833958944,-23.18876262626263,0.7890558926083272
2,2021-10-19,2021-10-20,2021-10-24,528,XGBoost,32.78937596805168,61.43359162504534,29.273258447687407,-20.615031278494634,0.8636689437127834
2,2021-10-19,2021-10-20,2021-10-24,528,LightGBM,38.06488653838415,75.94348658018097,33.98305788148326,-29.46221157913607,0.7916641301144908
2,2021-10-19,2021-10-20,2021-10-24,528,LSTM,41.30427737850131,84.53255819957405,36.87507770425196,-29.169059066609904,0.7418744400731476
3,2021-10-24,2021-10-25,2021-10-30,636,D+3 Plan Baseline,33.003144654088054,69.83369733172422,33.11195595589279,-16.754716981132077,0.7503903220764966
3,2021-10-24,2021-10-25,2021-10-30,636,3-day Moving Average,33.82180293501048,64.8511546324568,33.93331335152729,9.20859538784067,0.784738296417159
3,2021-10-24,2021-10-25,2021-10-30,636,XGBoost,28.056005269476454,52.07780830954326,28.14850586264142,13.401565145396587,0.8611848889936053
3,2021-10-24,2021-10-25,2021-10-30,636,LightGBM,24.290578571152096,46.81708965649993,24.37066456003649,6.272972134677651,0.8878136101579046
3,2021-10-24,2021-10-25,2021-10-30,636,LSTM,33.998083150272,65.26279694783888,34.11017476230537,-6.961973386845967,0.7819968786298129
