Scenario,Model,Eligible_For_Overall_Ranking,Eligible_For_ML_Ranking,N,Parts,MAE,RMSE,WAPE_pct,Forecast_Bias,R2
source_total,3-day Moving Average,True,False,1614,113,36.952292504049886,80.53889982012593,37.22072449483044,-7.502891306558801,0.741768876992728
source_total,XGBoost,True,True,1614,113,48.38957765429307,97.11151362578332,48.741093346082664,-35.44510294902779,0.6245616392214082
source_total,D+3 Plan Reference,False,False,1614,113,52.294919454770756,124.83197629146433,52.6748046631219,-46.910780669144984,0.37963271007251354
source_total,CatBoost,True,True,1614,113,58.78699661640867,128.4435711822565,59.21404212466837,-49.8710365774538,0.34321694059449315
source_total,LSTM,True,True,1614,113,59.57711351395595,118.92101646176505,60.009898656684456,-44.43129262561729,0.4369921844498038
source_total,LightGBM,True,True,1614,113,69.41235260343846,147.6734223226928,69.91658372772017,-62.26345393459955,0.1318357904009585
slot_sum,3-day Moving Average,True,False,1614,113,37.24204881038734,80.7889590897527,37.54538950377596,-7.7100371221516655,0.7403094569427178
slot_sum,XGBoost,True,True,1614,113,49.9883076821972,100.15946471945837,50.39546809356029,-37.92318236867781,0.6008500316594068
slot_sum,D+3 Plan Reference,False,False,1614,113,53.28872366790582,126.13532003014781,53.72276634019588,-48.13011152416357,0.36696818666453235
slot_sum,LSTM,True,True,1614,113,60.5893867458531,122.27957666749283,61.082894143393275,-45.034050654398676,0.4050780915341671
slot_sum,CatBoost,True,True,1614,113,63.137579205215296,135.15862790430495,63.651841918110065,-55.566817583892686,0.27315859709806944
slot_sum,LightGBM,True,True,1614,113,69.94226547209442,148.52089026459345,70.51195312310139,-62.83316230384116,0.12233819836354298
