Scenario,Fold,Model,Eligible_For_Overall_Ranking,Eligible_For_ML_Ranking,N,Parts,MAE,RMSE,WAPE_pct,Forecast_Bias,R2
slot_sum,1,3-day Moving Average,True,False,547,110,28.10359529592437,63.95971090039892,28.894903625560374,-17.22486289654615,0.8174943669636969
slot_sum,1,XGBoost,True,True,547,110,48.034144009271095,93.32179011390373,49.38663353458759,-23.678820036447025,0.6114656582698315
slot_sum,1,LSTM,True,True,547,110,56.19343687645696,118.29680534079887,57.77566627461741,-41.05896782673473,0.37567701764699646
slot_sum,1,D+3 Plan Reference,False,False,547,110,60.840950639853745,130.17378343570988,62.554039321830004,-55.37111517367459,0.24401993302393865
slot_sum,1,CatBoost,True,True,547,110,87.1877518285496,166.45329614731878,89.6426830762314,-75.20643696276318,-0.2360842949682056
slot_sum,1,LightGBM,True,True,547,110,87.4091773308958,167.00911611261415,89.8703432201797,-75.39411334552102,-0.2443531298495356
slot_sum,2,3-day Moving Average,True,False,542,110,38.70172214684011,78.14509520983735,39.025736564813656,1.9403447321860112,0.7756207285230096
slot_sum,2,LSTM,True,True,542,110,54.702508492970914,102.63590125833392,55.160482982679504,-30.08579082923986,0.6129403631254677
slot_sum,2,XGBoost,True,True,542,110,73.16803501259082,127.71695308696131,73.78060460804507,-67.76584301073778,0.40065569557579794
slot_sum,2,CatBoost,True,True,542,110,74.92757235185019,146.94080104592894,75.55487295758661,-71.12007204720393,0.20665134380796368
slot_sum,2,D+3 Plan Reference,False,False,542,110,74.99077490774907,160.40561478518308,75.6186046511628,-67.93911439114392,0.05459386431468394
slot_sum,2,LightGBM,True,True,542,110,91.63512646162812,177.31389152624692,92.40230426456267,-89.80748257281675,-0.15522028738099491
slot_sum,3,D+3 Plan Reference,False,False,525,105,23.015238095238097,68.51153535128574,22.73633900346229,-20.135238095238094,0.8181207400439854
slot_sum,3,CatBoost,True,True,525,105,25.907825471043886,70.72557329267549,25.593873950583397,-19.047320975593923,0.8061754738206045
slot_sum,3,XGBoost,True,True,525,105,28.094051141277664,70.19454524302378,27.753606896678413,-21.95545689769444,0.8090751282250996
slot_sum,3,LightGBM,True,True,525,105,29.348110342396122,79.34014101245731,28.992469384611557,-21.898073150348498,0.756083199853894
slot_sum,3,3-day Moving Average,True,False,525,105,45.256508094299406,97.46155220480533,44.70808887081738,-7.759365248736881,0.6319367762522561
slot_sum,3,LSTM,True,True,525,105,71.24704882513277,143.21954534680245,70.38367573610323,-64.60800709624299,0.20519542290632686
