Metric,Value
source_rows,17364
source_columns,84
source_parts,117
source_start,2021-09-13
source_end,2021-11-01
source_missing_cells,0
source_exact_duplicate_rows,0
daily_rows_after_last_log,5478
daily_parts_after_last_log,117
rows_with_exact_d3_target,5097
invalid_negative_quantity_rows_removed,0
supervised_rows,5097
supervised_parts,117
plan_d3_zero_rows,2869
plan_d3_zero_rate,0.5628801255640573
target_zero_rows,1105
target_zero_rate,0.2167941926623504
moving_average_fallback_rows,125
pooled_evaluation_rows,4098
pooled_evaluation_parts,117
final_training_rows,5097
final_training_parts,117
