Fold,Train_Target_End,Test_Target_Start,Test_Target_End,Model,N,Parts,MAE,RMSE,WAPE_pct,Forecast_Bias,R2
1,2021-09-24,2021-09-25,2021-10-03,XGBoost,1007,116,46.72723224392122,108.65737758134658,58.40976535164124,11.364997247983114,0.5944165286041743
1,2021-09-24,2021-09-25,2021-10-03,3-day Moving Average,1007,116,43.363124793114864,110.75997290902677,54.20457883869793,17.98675935120821,0.5785680174032277
1,2021-09-24,2021-09-25,2021-10-03,LightGBM,1007,116,47.03741240103232,121.21301946607738,58.79749536096469,21.40117172084496,0.49526857025149196
1,2021-09-24,2021-09-25,2021-10-03,CatBoost,1007,116,43.53755212309985,100.56771145728025,54.42261570769442,9.296595778258995,0.6525606977108368
1,2021-09-24,2021-09-25,2021-10-03,D+3 Plan Reference,1007,116,58.71102284011916,160.69782037627084,73.38968954430915,-49.110228401191655,0.11288120190356843
2,2021-10-03,2021-10-04,2021-10-10,XGBoost,794,114,76.80421287832918,160.6907817904184,80.53903302437118,-72.55693343730282,-0.14345097557696618
2,2021-10-03,2021-10-04,2021-10-10,3-day Moving Average,794,114,38.706129303106636,79.31557562902485,40.58832334011287,-21.115029387069686,0.7214183008778703
2,2021-10-03,2021-10-04,2021-10-10,LightGBM,794,114,86.94975452550614,170.3349183902479,91.17793007376301,-82.72416763969343,-0.28482209208916087
2,2021-10-03,2021-10-04,2021-10-10,CatBoost,794,114,79.34917642251541,158.59758957861948,83.2077525548446,-76.11310244817457,-0.11385532890856065
2,2021-10-03,2021-10-04,2021-10-10,D+3 Plan Reference,794,114,36.15491183879093,88.2379782522545,37.91304577511292,-27.16750629722922,0.655216305025268
3,2021-10-10,2021-10-11,2021-10-17,XGBoost,779,114,38.98947311701571,77.5509128023213,43.384755396747856,-1.5798580839426588,0.7587621979034598
3,2021-10-10,2021-10-11,2021-10-17,3-day Moving Average,779,114,39.03679931536158,83.03254659492228,43.437416676189386,7.555412922550274,0.7234534462607898
3,2021-10-10,2021-10-11,2021-10-17,LightGBM,779,114,41.85128187507389,85.37246267960742,46.56917578088584,-5.866125657260792,0.7076472698976437
3,2021-10-10,2021-10-11,2021-10-17,CatBoost,779,114,42.338085618844765,80.67125215658575,47.110856897897484,-14.907545549408,0.7389587556536048
3,2021-10-10,2021-10-11,2021-10-17,D+3 Plan Reference,779,114,71.05391527599487,156.56355778137026,79.06382127756828,-65.8831835686778,0.01677503189660301
4,2021-10-17,2021-10-18,2021-10-24,XGBoost,746,108,31.352467964403957,54.27587366180787,28.142150284496875,-23.219342141866,0.8920198714052414
4,2021-10-17,2021-10-18,2021-10-24,3-day Moving Average,746,108,34.375335120643435,66.42213194974607,30.85549272049092,-16.232350312779264,0.8382829477001374
4,2021-10-17,2021-10-18,2021-10-24,LightGBM,746,108,33.2291130556237,58.87643799257851,29.82663739561458,-27.518956179440238,0.872938713157598
4,2021-10-17,2021-10-18,2021-10-24,CatBoost,746,108,32.870603583445835,61.93689426260757,29.504837291842843,-24.5576321795638,0.8593858442962323
4,2021-10-17,2021-10-18,2021-10-24,D+3 Plan Reference,746,108,39.03887399463807,100.53219643530743,35.04151125015041,-35.38471849865952,0.6295406700457966
5,2021-10-24,2021-10-25,2021-11-01,XGBoost,772,113,26.189169943718714,56.571084655401094,27.058403635640854,4.244537047539968,0.8431204181510275
5,2021-10-24,2021-10-25,2021-11-01,3-day Moving Average,772,113,34.61960276338515,70.88089838525595,35.76864739471806,6.734455958549223,0.7537162041526417
5,2021-10-24,2021-10-25,2021-11-01,LightGBM,772,113,25.18017757389709,53.50235844179565,26.015922225707378,5.3768020341866904,0.8596788081117752
5,2021-10-24,2021-10-25,2021-11-01,CatBoost,772,113,27.617569650552156,58.358965855503335,28.534212754585475,7.932448633946118,0.8330476307665262
5,2021-10-24,2021-10-25,2021-11-01,D+3 Plan Reference,772,113,30.145077720207254,65.25361046529515,31.145610278372594,-16.56217616580311,0.7912692162298822
