Subset,Model,N,Parts,MAE,RMSE,WAPE_pct,Forecast_Bias,R2
All pooled walk-forward rows,XGBoost,4098,117,44.41597065670412,100.92861062066562,47.385977572126436,-14.992974378970708,0.595532952676175
All pooled walk-forward rows,3-day Moving Average,4098,117,38.35513258500081,85.40274763886502,40.91986340896172,0.07873759557507647,0.7104002106082584
All pooled walk-forward rows,LightGBM,4098,117,47.15347569261049,108.57125784702814,50.30653408180306,-15.880910495242107,0.5319585741709552
All pooled walk-forward rows,CatBoost,4098,117,45.30726300829569,99.67854347841315,48.336868856461145,-18.27263363559806,0.6054900857610221
D+3 plan = 0,XGBoost,2132,116,42.88952912019385,99.74455283692524,63.78559396485204,-6.107591105262245,0.555930702983811
D+3 plan = 0,3-day Moving Average,2132,116,33.03830519074421,88.52386645560236,49.134787987016,13.48452157598499,0.6502214924444629
D+3 plan = 0,LightGBM,2132,116,44.566046522197645,108.90810404273566,66.27892183468106,-4.646868657234075,0.4705892364031412
D+3 plan = 0,CatBoost,2132,116,42.933561915499986,97.55771861366956,63.85107983191912,-10.045077833103885,0.5751891081189751
D+3 plan > 0,XGBoost,1966,113,46.07129789772136,102.19714106767157,37.6210948155293,-24.628598559818336,0.607575229235037
D+3 plan > 0,3-day Moving Average,1966,113,44.12088843675822,81.88374861689653,36.02842122897448,-14.458969142082061,0.7480732103059939
D+3 plan > 0,LightGBM,1966,113,49.959375484736725,108.2047847485323,40.79603761562077,-28.063503170030064,0.5600818800420974
D+3 plan > 0,CatBoost,1966,113,47.88138850668859,101.92857905797146,39.099186241905706,-27.194886418363865,0.6096350110890956
Actual = 0,XGBoost,887,114,36.86806782602837,104.03449319632338,,36.86806782602837,
Actual = 0,3-day Moving Average,887,114,40.73130402104473,124.46181877067711,,40.73130402104473,
Actual = 0,LightGBM,887,114,39.78274191139125,123.1827175111953,,39.78274191139125,
Actual = 0,CatBoost,887,114,34.26476522135357,98.91432165194739,,34.26476522135357,
Actual > 0,XGBoost,3211,116,46.50098772640495,100.05365444823956,38.8723875895204,-29.318961434664942,0.6553363583186191
Actual > 0,3-day Moving Average,3211,116,37.69874390117305,70.9173829172644,31.514173272761198,-11.15104328869511,0.8268450299960988
Actual > 0,LightGBM,3211,116,49.18955195045585,104.1743898633886,41.119886313451374,-31.257322729650014,0.6263616101842813
Actual > 0,CatBoost,3211,116,48.357619762271916,99.88861989876396,40.424434624176385,-32.7854560541954,0.656472438701106
Warm-start part,XGBoost,4083,117,44.57803980817976,101.11383070030853,47.38480312843757,-15.049159985157347,0.5950139648522352
Warm-start part,3-day Moving Average,4083,117,38.49604049310148,85.55947881794602,40.919863408961724,0.07902685933545536,0.7100285896139384
Warm-start part,LightGBM,4083,117,47.32565984455424,108.77049321849779,50.30542133093343,-15.94030013531839,0.5313580992737768
Warm-start part,CatBoost,4083,117,45.46936752670493,99.86143050654206,48.332251438120416,-18.344106988768146,0.6049841827073043
Cold-start part,XGBoost,15,4,0.3007476250330607,0.47930639945006187,,0.3007476250330607,
Cold-start part,3-day Moving Average,15,4,0.0,0.0,,0.0,
Cold-start part,LightGBM,15,4,0.28494953352267416,0.9321217872867996,,0.28494953352267416,
Cold-start part,CatBoost,15,4,1.1824130973005553,1.530739782788174,,1.1824130973005553,
