part_number,Daily_Rows,First_Daily_Date,Last_Daily_Date,Supervised_Rows,First_Target_Date,Last_Target_Date,Plan_Zero_Rows,Actual_Zero_Rows,Pooled_Evaluation_Rows,Cold_Start_Evaluation_Rows,Included_In_Final_Training,Included_In_Pooled_Evaluation
Part 0,46,2021-09-13,2021-11-01,40,2021-09-16,2021-11-01,38,32,31,0,True,True
Part 1,46,2021-09-13,2021-11-01,40,2021-09-16,2021-11-01,35,31,31,0,True,True
Part 10,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,20,2,37,0,True,True
Part 100,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,31,12,37,0,True,True
Part 101,32,2021-09-13,2021-10-14,29,2021-09-16,2021-10-14,21,5,20,0,True,True
Part 102,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,29,2,37,0,True,True
Part 103,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,24,2,37,0,True,True
Part 104,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,27,2,37,0,True,True
Part 105,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,28,23,37,0,True,True
Part 106,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,24,2,37,0,True,True
Part 107,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,24,2,37,0,True,True
Part 108,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,36,11,37,0,True,True
Part 109,15,2021-09-13,2021-09-27,12,2021-09-16,2021-09-27,10,0,3,0,True,True
Part 11,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,32,25,37,0,True,True
Part 110,40,2021-09-14,2021-10-29,34,2021-09-17,2021-10-29,27,22,27,0,True,True
Part 111,23,2021-09-16,2021-10-08,20,2021-09-19,2021-10-08,19,19,14,0,True,True
Part 112,36,2021-09-17,2021-11-01,30,2021-09-20,2021-11-01,29,29,25,0,True,True
Part 113,35,2021-09-27,2021-11-01,32,2021-09-30,2021-11-01,32,29,32,4,True,True
Part 114,33,2021-09-28,2021-10-30,30,2021-10-01,2021-10-30,29,28,30,3,True,True
Part 115,14,2021-09-30,2021-10-16,9,2021-10-03,2021-10-15,9,9,9,1,True,True
Part 116,24,2021-10-08,2021-11-01,21,2021-10-11,2021-11-01,16,15,21,7,True,True
Part 12,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,30,13,37,0,True,True
Part 13,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,31,28,37,0,True,True
Part 14,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,20,2,37,0,True,True
Part 15,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,22,2,37,0,True,True
Part 16,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,20,2,37,0,True,True
Part 17,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,23,2,37,0,True,True
Part 18,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,20,2,37,0,True,True
Part 19,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,24,10,37,0,True,True
Part 2,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,21,2,37,0,True,True
Part 20,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,20,2,37,0,True,True
Part 21,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,14,4,37,0,True,True
Part 22,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,20,2,37,0,True,True
Part 23,39,2021-09-13,2021-11-01,33,2021-09-16,2021-11-01,28,24,31,0,True,True
Part 24,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,20,2,37,0,True,True
Part 25,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,15,37,0,True,True
Part 26,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,14,4,37,0,True,True
Part 27,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,20,2,37,0,True,True
Part 28,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,20,2,37,0,True,True
Part 29,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,20,2,37,0,True,True
Part 3,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,32,15,37,0,True,True
Part 30,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 31,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,31,17,37,0,True,True
Part 32,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,42,26,37,0,True,True
Part 33,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 34,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,26,4,37,0,True,True
Part 35,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,29,7,37,0,True,True
Part 36,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,35,18,37,0,True,True
Part 37,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 38,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 39,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 4,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,21,2,37,0,True,True
Part 40,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,39,24,37,0,True,True
Part 41,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 42,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,28,5,37,0,True,True
Part 43,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,37,16,37,0,True,True
Part 44,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,40,25,37,0,True,True
Part 45,21,2021-09-13,2021-11-01,15,2021-09-16,2021-11-01,15,4,6,0,True,True
Part 46,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,33,15,37,0,True,True
Part 47,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,26,6,37,0,True,True
Part 48,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,34,12,37,0,True,True
Part 49,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,31,21,37,0,True,True
Part 5,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,21,2,37,0,True,True
Part 50,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 51,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 52,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,35,16,37,0,True,True
Part 53,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 54,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,26,4,37,0,True,True
Part 55,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,32,19,37,0,True,True
Part 56,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 57,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,27,4,37,0,True,True
Part 58,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 59,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 6,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,21,2,37,0,True,True
Part 60,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 61,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 62,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,28,8,37,0,True,True
Part 63,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 64,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 65,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 66,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 67,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 68,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,28,8,37,0,True,True
Part 69,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 7,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,24,4,37,0,True,True
Part 70,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 71,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,25,4,37,0,True,True
Part 72,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,16,4,37,0,True,True
Part 73,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,15,15,37,0,True,True
Part 74,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,14,4,37,0,True,True
Part 75,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,14,4,37,0,True,True
Part 76,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,20,8,37,0,True,True
Part 77,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,15,15,37,0,True,True
Part 78,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,15,15,37,0,True,True
Part 79,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,31,20,37,0,True,True
Part 8,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,24,4,37,0,True,True
Part 80,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,15,15,37,0,True,True
Part 81,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,15,15,37,0,True,True
Part 82,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,15,15,37,0,True,True
Part 83,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,15,15,37,0,True,True
Part 84,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,15,15,37,0,True,True
Part 85,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,29,5,37,0,True,True
Part 86,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,37,16,37,0,True,True
Part 87,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,23,5,37,0,True,True
Part 88,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,36,13,37,0,True,True
Part 89,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,30,30,37,0,True,True
Part 9,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,24,4,37,0,True,True
Part 90,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,23,5,37,0,True,True
Part 91,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,23,5,37,0,True,True
Part 92,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,23,2,37,0,True,True
Part 93,38,2021-09-13,2021-10-29,30,2021-09-16,2021-10-28,26,19,22,0,True,True
Part 94,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,1,0,37,0,True,True
Part 95,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,0,0,37,0,True,True
Part 96,38,2021-09-13,2021-10-29,30,2021-09-16,2021-10-28,26,19,22,0,True,True
Part 97,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,27,2,37,0,True,True
Part 98,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,30,8,37,0,True,True
Part 99,49,2021-09-13,2021-11-01,46,2021-09-16,2021-11-01,29,12,37,0,True,True
