dataset,group_type,group_value,count,mean,std,min,median,max,anomaly_count,label_anomaly_count
Training_Data,SetPower,38,52215,687.504,12.076,0,688.0,693,,
Training_Data,SetPower,82,41772,1689.036,29.826,0,1690.0,1713,,
Training_Data,SetPower,83,41772,1710.744,30.208,0,1713.0,1733,,
Training_Data,Recipe,S100_L120.6_P83,176,1725.858,4.305,1713,1726.5,1733,,
Training_Data,Recipe,S120_L120.6_P82,168,1704.405,5.894,1687,1705.0,1713,,
Training_Data,Recipe,S150_L120.6_P82,12,1700.167,7.133,1683,1702.5,1709,,
Training_Data,Recipe,S175_L120.6_P82,12,1699.75,7.35,1682,1702.0,1709,,
Training_Data,Recipe,S250_L241.1_P82,20790,1686.282,29.888,0,1688.0,1704,,
Training_Data,Recipe,S250_L241.1_P83,20806,1711.576,30.204,0,1713.0,1729,,
Training_Data,Recipe,S250_L241.2_P82,20790,1691.653,29.619,0,1693.0,1707,,
Training_Data,Recipe,S250_L241.2_P83,20790,1709.784,30.279,0,1712.0,1728,,
Training_Data,Recipe,S30_L19.4_P38,52215,687.504,12.076,0,688.0,693,,
Training_Data,PageNo,1,3481,1677.782,29.467,0,1680.0,1693,,
Training_Data,PageNo,2,3481,1703.043,29.941,0,1705.0,1721,,
Training_Data,PageNo,3,3481,1684.927,29.525,0,1687.0,1702,,
Training_Data,PageNo,4,3481,1707.764,29.99,0,1709.0,1726,,
Training_Data,PageNo,5,3481,1687.803,29.54,0,1689.0,1705,,
Training_Data,PageNo,6,3481,1710.616,30.035,0,1712.0,1728,,
Training_Data,PageNo,7,3481,1686.04,29.483,0,1688.0,1703,,
Training_Data,PageNo,8,3481,1710.446,30.007,0,1712.0,1728,,
Training_Data,PageNo,9,3481,1689.928,29.51,0,1692.0,1708,,
Training_Data,PageNo,10,3481,1712.914,30.032,0,1714.0,1731,,
Training_Data,PageNo,11,3481,1691.615,29.535,0,1693.0,1711,,
Training_Data,PageNo,12,3481,1714.334,30.04,0,1716.0,1733,,
Training_Data,PageNo,13,3481,687.643,12.086,0,688.0,693,,
Training_Data,PageNo,14,3481,687.266,12.065,0,688.0,693,,
Training_Data,PageNo,15,3481,687.462,12.074,0,688.0,693,,
Training_Data,PageNo,16,3481,687.247,12.066,0,688.0,693,,
Training_Data,PageNo,17,3481,687.229,12.062,0,688.0,693,,
Training_Data,PageNo,18,3481,687.228,12.057,0,688.0,693,,
Training_Data,PageNo,19,3481,1704.83,29.856,0,1707.0,1718,,
Training_Data,PageNo,20,3481,1687.783,29.446,0,1689.0,1702,,
Training_Data,PageNo,21,3481,1710.741,29.955,0,1713.0,1724,,
Training_Data,PageNo,22,3481,1690.454,29.469,0,1692.0,1707,,
Training_Data,PageNo,23,3481,1713.069,29.985,0,1714.0,1728,,
Training_Data,PageNo,24,3481,1692.277,29.518,0,1694.0,1709,,
Training_Data,PageNo,25,3481,1711.043,29.964,0,1713.0,1726,,
Training_Data,PageNo,26,3481,1691.809,29.501,0,1693.0,1708,,
Training_Data,PageNo,27,3481,1714.403,29.996,0,1716.0,1731,,
Training_Data,PageNo,28,3481,1693.515,29.513,0,1695.0,1711,,
Training_Data,PageNo,29,3481,1715.725,30.007,0,1717.0,1733,,
Training_Data,PageNo,30,3481,1694.497,29.515,0,1697.0,1713,,
Training_Data,PageNo,31,3481,687.982,12.094,0,688.0,693,,
Training_Data,PageNo,32,3481,687.289,12.041,0,688.0,693,,
Training_Data,PageNo,33,3481,687.905,12.102,0,688.0,693,,
Training_Data,PageNo,34,3481,687.586,12.081,0,688.0,693,,
Training_Data,PageNo,35,3481,687.706,12.094,0,688.0,693,,
