model,feature,importance,normalized_importance
LogisticCurrent,PageNo,0.013052184044944196,0.014101109953898613
LogisticCurrent,PageSin,0.0003571096189113436,0.0003858083815339901
LogisticCurrent,PageCos,0.010259962101341391,0.011084493845295466
LogisticCurrent,Speed,0.008952056862200818,0.00967148009044076
LogisticCurrent,Length,0.008926285488888974,0.009643637626108207
LogisticCurrent,SetPower,0.008705820991150102,0.009405455716257567
LogisticCurrent,GateOnTime,0.009250190833227055,0.009993573304262844
LogisticCurrent,RealPower,0.008493811682468932,0.00917640848840138
LogisticCurrent,PreviousRealPower,0.010894017828484391,0.01176950483614231
LogisticCurrent,RealPowerDelta,0.05771924303512906,0.06235779312424118
LogisticCurrent,PhaseSignedZ,0.2556568561405814,0.27620246745622656
LogisticCurrent,PhaseAbsZ,0.2556568561405814,0.27620246745622656
LogisticCurrent,RelativePowerError,0.25789980667433177,0.2786256704993847
LogisticCurrent,TimeGapSeconds,0.019789745801364923,0.02138012922157989
RandomForestCurrent,PageNo,0.004247477938520901,0.004247477938520901
RandomForestCurrent,PageSin,0.04099043049296554,0.04099043049296554
RandomForestCurrent,PageCos,0.006983341008055285,0.006983341008055285
RandomForestCurrent,Speed,4.557783377206978e-16,4.557783377206978e-16
RandomForestCurrent,Length,5.942200440482391e-16,5.942200440482391e-16
RandomForestCurrent,SetPower,0.10413545482401111,0.10413545482401111
RandomForestCurrent,GateOnTime,0.0015958331498442716,0.0015958331498442716
RandomForestCurrent,RealPower,0.2098246254828786,0.2098246254828786
RandomForestCurrent,PreviousRealPower,0.03768996731654974,0.03768996731654974
RandomForestCurrent,RealPowerDelta,0.0757656722835051,0.0757656722835051
RandomForestCurrent,PhaseSignedZ,0.1687029043434474,0.1687029043434474
RandomForestCurrent,PhaseAbsZ,0.14637188899459458,0.14637188899459458
RandomForestCurrent,RelativePowerError,0.18685278851294493,0.18685278851294493
RandomForestCurrent,TimeGapSeconds,0.01683961565268143,0.01683961565268143
LogisticHistoryOnly,PageNo,1.6580930035935229,0.09528929217698774
LogisticHistoryOnly,PageSin,6.430622395670383,0.36956277784954383
LogisticHistoryOnly,PageCos,0.46781484698476544,0.02688494887949738
LogisticHistoryOnly,SetPower,4.990840518704621,0.28681965327934
LogisticHistoryOnly,GateOnTime,1.48507397834719,0.0853460257780921
LogisticHistoryOnly,PreviousRealPower,0.3136137288236609,0.018023132702342924
LogisticHistoryOnly,PreviousPhaseSignedZ,0.008126159518448858,0.00046700395391096504
LogisticHistoryOnly,PreviousPhaseAbsZ,0.008126159518448858,0.00046700395391096504
LogisticHistoryOnly,TimeGapSeconds,2.038311731187283,0.11714016142637405
