model,family,split,source_file,rows,accuracy,precision,recall,f1,tn,fp,fn,tp,false_positive_rate,event_total,event_detected,event_recall,missed_events,false_alarm_events,mean_detection_delay_rows,max_detection_delay_rows,mean_detection_delay_seconds
LogisticCurrent,supervised,validation,WeldingTest_01_OK,585,1.0,0.0,0.0,0.0,585,0,0,0,0.0,0,0,0.0,0,0,,,
LogisticCurrent,supervised,validation,WeldingTest_03_NG,351,1.0,1.0,1.0,1.0,348,0,0,3,0.0,3,3,1.0,0,0,0.0,0.0,0.0
LogisticCurrent,supervised,locked_test,WeldingTest_02_OK,1872,1.0,0.0,0.0,0.0,1872,0,0,0,0.0,0,0,0.0,0,0,,,
LogisticCurrent,supervised,locked_test,WeldingTest_04_NG,351,0.9943019943019943,0.9927272727272727,1.0,0.9963503649635036,76,2,0,273,0.02564102564102564,1,1,1.0,0,2,0.0,0.0,0.0
RandomForestCurrent,supervised,validation,WeldingTest_01_OK,585,1.0,0.0,0.0,0.0,585,0,0,0,0.0,0,0,0.0,0,0,,,
RandomForestCurrent,supervised,validation,WeldingTest_03_NG,351,1.0,1.0,1.0,1.0,348,0,0,3,0.0,3,3,1.0,0,0,0.0,0.0,0.0
RandomForestCurrent,supervised,locked_test,WeldingTest_02_OK,1872,1.0,0.0,0.0,0.0,1872,0,0,0,0.0,0,0,0.0,0,0,,,
RandomForestCurrent,supervised,locked_test,WeldingTest_04_NG,351,0.698005698005698,0.9940828402366864,0.6153846153846154,0.7601809954751131,77,1,105,168,0.01282051282051282,1,1,1.0,0,1,0.0,0.0,0.0
LogisticHistoryOnly,supervised,validation,WeldingTest_01_OK,585,1.0,0.0,0.0,0.0,585,0,0,0,0.0,0,0,0.0,0,0,,,
LogisticHistoryOnly,supervised,validation,WeldingTest_03_NG,351,1.0,1.0,1.0,1.0,348,0,0,3,0.0,3,3,1.0,0,0,0.0,0.0,0.0
LogisticHistoryOnly,supervised,locked_test,WeldingTest_02_OK,1872,1.0,0.0,0.0,0.0,1872,0,0,0,0.0,0,0,0.0,0,0,,,
LogisticHistoryOnly,supervised,locked_test,WeldingTest_04_NG,351,0.3162393162393162,0.9714285714285714,0.12454212454212454,0.22077922077922077,77,1,239,34,0.01282051282051282,1,1,1.0,0,1,12.0,12.0,41.156
RobustPhaseZ,unsupervised,validation,WeldingTest_01_OK,585,1.0,0.0,0.0,0.0,585,0,0,0,0.0,0,0,0.0,0,0,,,
RobustPhaseZ,unsupervised,validation,WeldingTest_03_NG,351,1.0,1.0,1.0,1.0,348,0,0,3,0.0,3,3,1.0,0,0,0.0,0.0,0.0
RobustPhaseZ,unsupervised,locked_test,WeldingTest_02_OK,1872,1.0,0.0,0.0,0.0,1872,0,0,0,0.0,0,0,0.0,0,0,,,
RobustPhaseZ,unsupervised,locked_test,WeldingTest_04_NG,351,0.9772079772079773,0.9715302491103203,1.0,0.9855595667870036,70,8,0,273,0.10256410256410256,1,1,1.0,0,7,0.0,0.0,0.0
IsolationForestNormal,unsupervised,validation,WeldingTest_01_OK,585,0.9965811965811966,0.0,0.0,0.0,583,2,0,0,0.003418803418803419,0,0,0.0,0,2,,,
IsolationForestNormal,unsupervised,validation,WeldingTest_03_NG,351,0.9658119658119658,0.0,0.0,0.0,339,9,3,0,0.02586206896551724,3,0,0.0,3,9,,,
IsolationForestNormal,unsupervised,locked_test,WeldingTest_02_OK,1872,0.9893162393162394,0.0,0.0,0.0,1852,20,0,0,0.010683760683760684,0,0,0.0,0,20,,,
IsolationForestNormal,unsupervised,locked_test,WeldingTest_04_NG,351,0.6239316239316239,0.9862068965517241,0.5238095238095238,0.6842105263157895,76,2,130,143,0.02564102564102564,1,1,1.0,0,2,0.0,0.0,0.0
