모델,구분,Accuracy,Precision,Recall,F1-score,TP,FP,FN,TN,분류
Random Forest,학습,1.0,1.0,0.9997,0.9998,9120,0,3,57562,지도학습(라벨 사용)
Random Forest,테스트,0.9206,0.9996,0.7544,0.8599,2623,1,854,7292,지도학습(라벨 사용)
Isolation Forest,학습,0.8927,0.9735,0.2219,0.3614,2024,55,7099,57507,비지도(트리 고립)
Isolation Forest,테스트,0.8393,0.9943,0.505,0.6698,1756,10,1721,7283,비지도(트리 고립)
PCA (T²·SPE),학습,0.9521,0.9824,0.662,0.791,6039,108,3084,57454,비지도(상관 구조)
PCA (T²·SPE),테스트,0.9915,0.9971,0.9764,0.9866,3395,10,82,7283,비지도(상관 구조)
LSTM Autoencoder,학습,0.8887,0.9532,0.1963,0.3256,1791,88,7332,57474,비지도(시계열 재구성)
LSTM Autoencoder,테스트,0.7668,0.9898,0.2804,0.437,975,10,2502,7283,비지도(시계열 재구성)
T²+SPE 결합지표,학습,0.9386,0.9851,0.5598,0.7139,5107,77,4016,57485,비지도(결합 통계량)
T²+SPE 결합지표,테스트,0.9915,0.9971,0.9764,0.9866,3395,10,82,7283,비지도(결합 통계량)
