파일,충방전,판정,시점,label,PCA_예측,이상점수_Q,이상점수_T2
Test03_OK_chg,충전,OK,0,0,0,0.052,8.8023
Test03_OK_chg,충전,OK,1,0,0,0.0297,8.3683
Test03_OK_chg,충전,OK,2,0,0,0.0332,8.2903
Test03_OK_chg,충전,OK,3,0,0,8.6942,14.0476
Test03_OK_chg,충전,OK,4,0,0,0.0597,8.9743
Test03_OK_chg,충전,OK,5,0,0,0.0373,8.4828
Test03_OK_chg,충전,OK,6,0,0,0.0369,8.4278
Test03_OK_chg,충전,OK,7,0,0,0.0319,8.4669
Test03_OK_chg,충전,OK,8,0,0,0.0373,8.3682
Test03_OK_chg,충전,OK,9,0,0,0.0518,8.9115
Test03_OK_chg,충전,OK,10,0,0,0.0529,8.9023
Test03_OK_chg,충전,OK,11,0,0,0.0563,8.851
Test03_OK_chg,충전,OK,12,0,0,0.0344,8.4179
Test03_OK_chg,충전,OK,13,0,0,0.0304,8.3525
Test03_OK_chg,충전,OK,14,0,0,0.0495,8.8413
Test03_OK_chg,충전,OK,15,0,0,0.0546,8.7804
Test03_OK_chg,충전,OK,16,0,0,0.052,8.8034
Test03_OK_chg,충전,OK,17,0,0,0.0546,8.7822
Test03_OK_chg,충전,OK,18,0,0,0.0288,8.4087
Test03_OK_chg,충전,OK,19,0,0,0.0306,8.3536
Test03_OK_chg,충전,OK,20,0,0,0.0316,8.3152
Test03_OK_chg,충전,OK,21,0,0,0.0331,8.3013
Test03_OK_chg,충전,OK,22,0,0,0.0547,8.7798
Test03_OK_chg,충전,OK,23,0,0,0.0559,8.7705
Test03_OK_chg,충전,OK,24,0,0,0.0755,8.7657
Test03_OK_chg,충전,OK,25,0,0,0.0495,8.8376
Test03_OK_chg,충전,OK,26,0,0,0.0331,8.2951
Test03_OK_chg,충전,OK,27,0,0,0.0548,8.7808
Test03_OK_chg,충전,OK,28,0,0,8.3556,14.7789
Test03_OK_chg,충전,OK,29,0,0,0.0533,8.8906
Test03_OK_chg,충전,OK,30,0,0,0.0512,8.9075
Test03_OK_chg,충전,OK,31,0,0,0.0536,8.9033
Test03_OK_chg,충전,OK,32,0,0,0.0534,8.9081
Test03_OK_chg,충전,OK,33,0,0,0.0388,19.9686
Test03_OK_chg,충전,OK,34,0,0,0.0582,20.9228
Test03_OK_chg,충전,OK,35,0,0,0.0395,19.9524
Test03_OK_chg,충전,OK,36,0,0,0.0334,20.5576
Test03_OK_chg,충전,OK,37,0,0,0.038,19.9849
Test03_OK_chg,충전,OK,38,0,0,0.042,21.0257
Test03_OK_chg,충전,OK,39,0,0,0.0356,19.8446
Test03_OK_chg,충전,OK,40,0,0,0.0426,20.9585
Test03_OK_chg,충전,OK,41,0,0,0.0558,8.7665
Test03_OK_chg,충전,OK,42,0,0,0.051,8.8153
Test03_OK_chg,충전,OK,43,0,0,0.0358,19.9097
Test03_OK_chg,충전,OK,44,0,0,7.416,26.0961
Test03_OK_chg,충전,OK,45,0,0,0.0556,8.8882
Test03_OK_chg,충전,OK,46,0,0,0.0547,8.9013
Test03_OK_chg,충전,OK,47,0,0,0.0555,8.8878
Test03_OK_chg,충전,OK,48,0,0,0.0395,19.9181
Test03_OK_chg,충전,OK,49,0,0,0.034,8.3939
Test03_OK_chg,충전,OK,50,0,0,0.0347,8.3913
Test03_OK_chg,충전,OK,51,0,0,0.0354,8.397
Test03_OK_chg,충전,OK,52,0,0,0.0339,8.4343
Test03_OK_chg,충전,OK,53,0,0,0.0341,8.405
Test03_OK_chg,충전,OK,54,0,0,0.0314,8.3312
Test03_OK_chg,충전,OK,55,0,0,0.0433,20.9958
Test03_OK_chg,충전,OK,56,0,0,94.1012,431.2413
Test03_OK_chg,충전,OK,57,0,0,3.5463,2144.7167
Test03_OK_chg,충전,OK,58,0,0,3.5724,54.3093
Test03_OK_chg,충전,OK,59,0,0,0.113,38.4572
Test03_OK_chg,충전,OK,60,0,0,0.2713,6.1602
Test03_OK_chg,충전,OK,61,0,0,0.1144,9.2897
Test03_OK_chg,충전,OK,62,0,0,0.1412,6.9015
Test03_OK_chg,충전,OK,63,0,0,0.2923,17.5722
Test03_OK_chg,충전,OK,64,0,0,0.1073,5.4615
Test03_OK_chg,충전,OK,65,0,0,0.2036,20.3155
Test03_OK_chg,충전,OK,66,0,0,0.2776,21.1803
Test03_OK_chg,충전,OK,67,0,0,0.768,18.148
Test03_OK_chg,충전,OK,68,0,0,0.1315,4.9087
Test03_OK_chg,충전,OK,69,0,0,1.1971,6.7006
Test03_OK_chg,충전,OK,70,0,0,6.3987,28.0224
Test03_OK_chg,충전,OK,71,0,0,0.2704,6.8749
Test03_OK_chg,충전,OK,72,0,0,0.083,5.4942
Test03_OK_chg,충전,OK,73,0,0,0.047,8.3768
Test03_OK_chg,충전,OK,74,0,0,0.0355,11.1719
Test03_OK_chg,충전,OK,75,0,0,0.0626,13.9386
Test03_OK_chg,충전,OK,76,0,0,0.4537,5.5177
Test03_OK_chg,충전,OK,77,0,0,0.1006,9.3702
Test03_OK_chg,충전,OK,78,0,0,0.0276,16.8606
Test03_OK_chg,충전,OK,79,0,0,0.1416,22.6566
Test03_OK_chg,충전,OK,80,0,0,1.5362,19.1949
Test03_OK_chg,충전,OK,81,0,0,0.2415,25.4843
Test03_OK_chg,충전,OK,82,0,0,0.0725,10.3306
Test03_OK_chg,충전,OK,83,0,0,3.1453,19.0385
Test03_OK_chg,충전,OK,84,0,0,0.0332,17.9531
Test03_OK_chg,충전,OK,85,0,0,0.4625,17.57
Test03_OK_chg,충전,OK,86,0,0,0.3321,18.1648
Test03_OK_chg,충전,OK,87,0,0,1.4695,24.2007
Test03_OK_chg,충전,OK,88,0,0,0.0873,23.0491
Test03_OK_chg,충전,OK,89,0,0,0.0446,24.831
Test03_OK_chg,충전,OK,90,0,0,3.6364,15.976
Test03_OK_chg,충전,OK,91,0,0,0.0887,9.236
Test03_OK_chg,충전,OK,92,0,0,0.2968,12.6123
Test03_OK_chg,충전,OK,93,0,0,0.133,18.1007
Test03_OK_chg,충전,OK,94,0,0,0.1614,33.9416
Test03_OK_chg,충전,OK,95,0,0,0.031,5.811
Test03_OK_chg,충전,OK,96,0,0,0.1472,21.1311
Test03_OK_chg,충전,OK,97,0,0,0.0508,20.4684
Test03_OK_chg,충전,OK,98,0,0,0.0893,21.566
Test03_OK_chg,충전,OK,99,0,0,0.0838,32.8025
Test03_OK_chg,충전,OK,100,0,0,0.0631,15.4669
Test03_OK_chg,충전,OK,101,0,0,0.0758,18.8541
Test03_OK_chg,충전,OK,102,0,0,1.2649,25.0691
Test03_OK_chg,충전,OK,103,0,0,0.157,7.8013
Test03_OK_chg,충전,OK,104,0,0,0.1197,9.5359
Test03_OK_chg,충전,OK,105,0,0,0.0879,5.3193
Test03_OK_chg,충전,OK,106,0,0,0.4429,9.895
Test03_OK_chg,충전,OK,107,0,0,0.0322,30.0971
Test03_OK_chg,충전,OK,108,0,0,0.038,32.6803
Test03_OK_chg,충전,OK,109,0,0,0.2322,10.9873
Test03_OK_chg,충전,OK,110,0,0,0.1097,7.4189
Test03_OK_chg,충전,OK,111,0,0,1.5712,16.0255
Test03_OK_chg,충전,OK,112,0,0,0.1091,26.8665
Test03_OK_chg,충전,OK,113,0,0,0.0251,7.9773
Test03_OK_chg,충전,OK,114,0,0,0.3597,16.6524
Test03_OK_chg,충전,OK,115,0,0,0.6209,24.5548
Test03_OK_chg,충전,OK,116,0,0,0.6436,14.1513
Test03_OK_chg,충전,OK,117,0,0,0.2574,5.828
Test03_OK_chg,충전,OK,118,0,0,0.0513,16.647
Test03_OK_chg,충전,OK,119,0,0,0.0107,36.5967
Test03_OK_chg,충전,OK,120,0,0,0.9249,8.9427
Test03_OK_chg,충전,OK,121,0,0,0.8834,5.1968
Test03_OK_chg,충전,OK,122,0,0,0.0709,9.1196
Test03_OK_chg,충전,OK,123,0,0,1.1311,35.9871
Test03_OK_chg,충전,OK,124,0,0,0.1699,28.0684
Test03_OK_chg,충전,OK,125,0,0,0.3907,6.5516
Test03_OK_chg,충전,OK,126,0,0,0.4517,8.6081
Test03_OK_chg,충전,OK,127,0,0,0.1867,17.1673
Test03_OK_chg,충전,OK,128,0,0,0.5005,8.5896
Test03_OK_chg,충전,OK,129,0,0,1.0066,10.0537
Test03_OK_chg,충전,OK,130,0,0,0.9609,11.8771
Test03_OK_chg,충전,OK,131,0,0,0.0759,14.3095
Test03_OK_chg,충전,OK,132,0,0,3.7452,33.2629
Test03_OK_chg,충전,OK,133,0,0,2.5336,27.4613
Test03_OK_chg,충전,OK,134,0,0,0.1747,8.1671
Test03_OK_chg,충전,OK,135,0,0,0.0343,12.0811
Test03_OK_chg,충전,OK,136,0,0,0.0995,5.2008
Test03_OK_chg,충전,OK,137,0,0,0.16,9.5949
Test03_OK_chg,충전,OK,138,0,0,1.9089,15.1375
Test03_OK_chg,충전,OK,139,0,0,0.5843,9.5086
Test03_OK_chg,충전,OK,140,0,0,0.1161,8.2104
Test03_OK_chg,충전,OK,141,0,0,0.082,7.04
Test03_OK_chg,충전,OK,142,0,0,0.0951,21.4041
Test03_OK_chg,충전,OK,143,0,0,0.2041,10.3654
Test03_OK_chg,충전,OK,144,0,0,0.0213,6.3428
Test03_OK_chg,충전,OK,145,0,0,0.0905,5.9177
Test03_OK_chg,충전,OK,146,0,0,0.7968,10.5171
Test03_OK_chg,충전,OK,147,0,0,0.0882,18.8074
Test03_OK_chg,충전,OK,148,0,0,0.4141,14.0266
Test03_OK_chg,충전,OK,149,0,0,0.0615,13.9728
Test03_OK_chg,충전,OK,150,0,0,0.4005,24.7979
Test03_OK_chg,충전,OK,151,0,0,0.0781,6.4417
Test03_OK_chg,충전,OK,152,0,0,0.527,7.7993
Test03_OK_chg,충전,OK,153,0,0,1.0726,10.3624
Test03_OK_chg,충전,OK,154,0,0,0.1868,5.2499
Test03_OK_chg,충전,OK,155,0,0,0.8678,12.737
Test03_OK_chg,충전,OK,156,0,0,0.1652,10.5518
Test03_OK_chg,충전,OK,157,0,0,0.1237,10.2653
Test03_OK_chg,충전,OK,158,0,0,0.1167,16.2887
Test03_OK_chg,충전,OK,159,0,0,5.7959,28.94
Test03_OK_chg,충전,OK,160,0,0,0.0112,50.8597
Test03_OK_chg,충전,OK,161,0,0,0.1157,17.4677
Test03_OK_chg,충전,OK,162,0,0,2.1968,10.6972
Test03_OK_chg,충전,OK,163,0,0,0.1304,18.0394
Test03_OK_chg,충전,OK,164,0,0,1.1756,24.0681
Test03_OK_chg,충전,OK,165,0,0,0.2218,14.1861
Test03_OK_chg,충전,OK,166,0,0,0.0558,23.9474
Test03_OK_chg,충전,OK,167,0,0,0.0238,15.4793
Test03_OK_chg,충전,OK,168,0,0,0.4797,18.4061
Test03_OK_chg,충전,OK,169,0,0,0.3409,17.4119
Test03_OK_chg,충전,OK,170,0,0,2.4883,13.9319
Test03_OK_chg,충전,OK,171,0,0,0.0004,18.2803
Test03_OK_chg,충전,OK,172,0,0,0.1146,8.4527
Test03_OK_chg,충전,OK,173,0,0,0.2342,30.691
Test03_OK_chg,충전,OK,174,0,0,0.0568,23.8011
Test03_OK_chg,충전,OK,175,0,0,0.0196,16.5998
Test03_OK_chg,충전,OK,176,0,0,0.0072,6.0993
Test03_OK_chg,충전,OK,177,0,0,11.0463,43.2228
Test03_OK_chg,충전,OK,178,0,0,0.5603,20.6728
Test03_OK_chg,충전,OK,179,0,0,1.727,33.3077
Test03_OK_chg,충전,OK,180,0,0,0.0174,9.4363
Test03_OK_chg,충전,OK,181,0,0,0.4969,13.0464
Test03_OK_chg,충전,OK,182,0,0,0.4517,14.5469
Test03_OK_chg,충전,OK,183,0,0,0.5058,25.4937
Test03_OK_chg,충전,OK,184,0,0,0.0352,21.4518
Test03_OK_chg,충전,OK,185,0,0,0.0497,5.3836
Test03_OK_chg,충전,OK,186,0,0,0.0414,22.3824
Test03_OK_chg,충전,OK,187,0,0,0.0763,17.3646
