기준,분위수,연속 k,임계값,Precision,Recall,F1-score
sklearn 기본,-,1,0.5,0.4923,0.8924,0.6346
sklearn 기본,-,10,0.5,0.7263,0.7985,0.7607
sklearn 기본,-,30,0.5,0.8021,0.7835,0.7927
정상 분위수,0.99,1,0.5784,0.8327,0.3351,0.4779
정상 분위수,0.99,10,0.5784,0.9735,0.2219,0.3614
정상 분위수,0.99,30,0.5784,1.0,0.2101,0.3473
정상 분위수,0.999,1,0.6176,0.7974,0.0337,0.0646
정상 분위수,0.999,10,0.6176,0.4074,0.0012,0.0024
정상 분위수,0.999,30,0.6176,0.0,0.0,0.0
정상 분위수,0.9999,1,0.6543,0.6667,0.0028,0.0057
정상 분위수,0.9999,10,0.6543,0.0,0.0,0.0
정상 분위수,0.9999,30,0.6543,0.0,0.0,0.0
