파일,순위,셀,이상점수
Test05_NG_chg,1,M09CV07,2.679
Test05_NG_chg,2,M06CV02,2.162
Test05_NG_chg,3,M04CV02,1.787
Test05_NG_chg,4,M11CV03,1.625
Test05_NG_chg,5,M11CV02,1.606
Test09_NG_dchg,1,M09CV01,2.913
Test09_NG_dchg,2,M08CV11,2.529
Test09_NG_dchg,3,M15CV05,2.429
Test09_NG_dchg,4,M04CV09,2.317
Test09_NG_dchg,5,M05CV11,2.138
Test06_NG_chg,1,M07CV06,3.915
Test06_NG_chg,2,M07CV07,3.833
Test06_NG_chg,3,M07CV11,3.791
Test06_NG_chg,4,M07CV02,3.711
Test06_NG_chg,5,M07CV09,3.608
Test07_NG_dchg,1,M02CV01,5.853
Test07_NG_dchg,2,M05CV01,2.441
Test07_NG_dchg,3,M02CV02,2.181
Test07_NG_dchg,4,M09CV05,1.851
Test07_NG_dchg,5,M09CV01,1.71
Test08_NG_chg,1,M10CV10,2.903
Test08_NG_chg,2,M08CV02,2.687
Test08_NG_chg,3,M05CV08,2.66
Test08_NG_chg,4,M14CV06,2.543
Test08_NG_chg,5,M12CV08,2.25
