파일,충방전,판정,시점,label,예측,결합지표_phi,Hotelling_T2,SPE,T2_정규화,SPE_정규화
Test03_OK_chg,충전,OK,0,0,0,0.4563,8.8023,0.052,0.4309,0.0254
Test03_OK_chg,충전,OK,1,0,0,0.4242,8.3683,0.0297,0.4097,0.0145
Test03_OK_chg,충전,OK,2,0,0,0.4221,8.2903,0.0332,0.4059,0.0162
Test03_OK_chg,충전,OK,3,0,0,4.937,14.0476,8.6942,0.6877,4.2493
Test03_OK_chg,충전,OK,4,0,0,0.4685,8.9743,0.0597,0.4393,0.0292
Test03_OK_chg,충전,OK,5,0,0,0.4335,8.4828,0.0373,0.4153,0.0182
Test03_OK_chg,충전,OK,6,0,0,0.4306,8.4278,0.0369,0.4126,0.018
Test03_OK_chg,충전,OK,7,0,0,0.4301,8.4669,0.0319,0.4145,0.0156
Test03_OK_chg,충전,OK,8,0,0,0.4279,8.3682,0.0373,0.4097,0.0183
Test03_OK_chg,충전,OK,9,0,0,0.4616,8.9115,0.0518,0.4363,0.0253
Test03_OK_chg,충전,OK,10,0,0,0.4617,8.9023,0.0529,0.4358,0.0259
Test03_OK_chg,충전,OK,11,0,0,0.4608,8.851,0.0563,0.4333,0.0275
Test03_OK_chg,충전,OK,12,0,0,0.4289,8.4179,0.0344,0.4121,0.0168
Test03_OK_chg,충전,OK,13,0,0,0.4238,8.3525,0.0304,0.4089,0.0149
Test03_OK_chg,충전,OK,14,0,0,0.457,8.8413,0.0495,0.4328,0.0242
Test03_OK_chg,충전,OK,15,0,0,0.4565,8.7804,0.0546,0.4298,0.0267
Test03_OK_chg,충전,OK,16,0,0,0.4564,8.8034,0.052,0.431,0.0254
Test03_OK_chg,충전,OK,17,0,0,0.4566,8.7822,0.0546,0.4299,0.0267
Test03_OK_chg,충전,OK,18,0,0,0.4257,8.4087,0.0288,0.4116,0.0141
Test03_OK_chg,충전,OK,19,0,0,0.4239,8.3536,0.0306,0.409,0.015
Test03_OK_chg,충전,OK,20,0,0,0.4225,8.3152,0.0316,0.4071,0.0154
Test03_OK_chg,충전,OK,21,0,0,0.4225,8.3013,0.0331,0.4064,0.0162
Test03_OK_chg,충전,OK,22,0,0,0.4566,8.7798,0.0547,0.4298,0.0268
Test03_OK_chg,충전,OK,23,0,0,0.4567,8.7705,0.0559,0.4294,0.0273
Test03_OK_chg,충전,OK,24,0,0,0.466,8.7657,0.0755,0.4291,0.0369
Test03_OK_chg,충전,OK,25,0,0,0.4568,8.8376,0.0495,0.4326,0.0242
Test03_OK_chg,충전,OK,26,0,0,0.4222,8.2951,0.0331,0.4061,0.0162
Test03_OK_chg,충전,OK,27,0,0,0.4566,8.7808,0.0548,0.4299,0.0268
Test03_OK_chg,충전,OK,28,0,0,4.8073,14.7789,8.3556,0.7235,4.0838
Test03_OK_chg,충전,OK,29,0,0,0.4613,8.8906,0.0533,0.4352,0.026
Test03_OK_chg,충전,OK,30,0,0,0.4611,8.9075,0.0512,0.4361,0.025
Test03_OK_chg,충전,OK,31,0,0,0.4621,8.9033,0.0536,0.4359,0.0262
Test03_OK_chg,충전,OK,32,0,0,0.4622,8.9081,0.0534,0.4361,0.0261
Test03_OK_chg,충전,OK,33,0,0,0.9965,19.9686,0.0388,0.9776,0.019
Test03_OK_chg,충전,OK,34,0,0,1.0527,20.9228,0.0582,1.0243,0.0284
Test03_OK_chg,충전,OK,35,0,0,0.9961,19.9524,0.0395,0.9768,0.0193
Test03_OK_chg,충전,OK,36,0,0,1.0227,20.5576,0.0334,1.0064,0.0163
Test03_OK_chg,충전,OK,37,0,0,0.9969,19.9849,0.038,0.9784,0.0186
Test03_OK_chg,충전,OK,38,0,0,1.0499,21.0257,0.042,1.0293,0.0205
Test03_OK_chg,충전,OK,39,0,0,0.9889,19.8446,0.0356,0.9715,0.0174
Test03_OK_chg,충전,OK,40,0,0,1.0468,20.9585,0.0426,1.026,0.0208
Test03_OK_chg,충전,OK,41,0,0,0.4564,8.7665,0.0558,0.4292,0.0273
Test03_OK_chg,충전,OK,42,0,0,0.4565,8.8153,0.051,0.4316,0.0249
Test03_OK_chg,충전,OK,43,0,0,0.9922,19.9097,0.0358,0.9747,0.0175
Test03_OK_chg,충전,OK,44,0,0,4.9021,26.0961,7.416,1.2775,3.6246
Test03_OK_chg,충전,OK,45,0,0,0.4623,8.8882,0.0556,0.4351,0.0272
Test03_OK_chg,충전,OK,46,0,0,0.4625,8.9013,0.0547,0.4358,0.0267
Test03_OK_chg,충전,OK,47,0,0,0.4622,8.8878,0.0555,0.4351,0.0271
Test03_OK_chg,충전,OK,48,0,0,0.9944,19.9181,0.0395,0.9751,0.0193
Test03_OK_chg,충전,OK,49,0,0,0.4276,8.3939,0.034,0.4109,0.0166
Test03_OK_chg,충전,OK,50,0,0,0.4278,8.3913,0.0347,0.4108,0.017
Test03_OK_chg,충전,OK,51,0,0,0.4284,8.397,0.0354,0.4111,0.0173
Test03_OK_chg,충전,OK,52,0,0,0.4295,8.4343,0.0339,0.4129,0.0166
Test03_OK_chg,충전,OK,53,0,0,0.4281,8.405,0.0341,0.4115,0.0166
Test03_OK_chg,충전,OK,54,0,0,0.4232,8.3312,0.0314,0.4079,0.0153
Test03_OK_chg,충전,OK,55,0,0,1.049,20.9958,0.0433,1.0279,0.0212
Test03_OK_chg,충전,OK,56,0,0,67.1035,431.2413,94.1012,21.1115,45.992
Test03_OK_chg,충전,OK,57,0,0,106.7283,2144.7167,3.5463,104.995,1.7332
Test03_OK_chg,충전,OK,58,0,0,4.4047,54.3093,3.5724,2.6587,1.746
Test03_OK_chg,충전,OK,59,0,0,1.9379,38.4572,0.113,1.8827,0.0553
Test03_OK_chg,충전,OK,60,0,0,0.4342,6.1602,0.2713,0.3016,0.1326
Test03_OK_chg,충전,OK,61,0,0,0.5107,9.2897,0.1144,0.4548,0.0559
Test03_OK_chg,충전,OK,62,0,0,0.4069,6.9015,0.1412,0.3379,0.069
Test03_OK_chg,충전,OK,63,0,0,1.0031,17.5722,0.2923,0.8603,0.1429
Test03_OK_chg,충전,OK,64,0,0,0.3198,5.4615,0.1073,0.2674,0.0524
Test03_OK_chg,충전,OK,65,0,0,1.0941,20.3155,0.2036,0.9945,0.0995
Test03_OK_chg,충전,OK,66,0,0,1.1726,21.1803,0.2776,1.0369,0.1357
Test03_OK_chg,충전,OK,67,0,0,1.2638,18.148,0.768,0.8884,0.3754
Test03_OK_chg,충전,OK,68,0,0,0.3046,4.9087,0.1315,0.2403,0.0643
Test03_OK_chg,충전,OK,69,0,0,0.9131,6.7006,1.1971,0.328,0.5851
Test03_OK_chg,충전,OK,70,0,0,4.4992,28.0224,6.3987,1.3718,3.1274
