모델,구분,Accuracy,Precision,Recall,F1-score,TP,FP,FN,TN
Decision Tree(전체),학습,1.0,1.0,1.0,1.0,9123,0,0,3499
Decision Tree(전체),테스트,0.7138,0.5817,0.4044,0.4771,1406,1011,2071,6282
Random Forest(전체),학습,1.0,1.0,1.0,1.0,9123,0,0,3499
Random Forest(전체),테스트,0.5775,0.3863,0.5243,0.4449,1823,2896,1654,4397
Decision Tree(상대),학습,0.9907,0.9887,0.9985,0.9936,9109,104,14,3395
Decision Tree(상대),테스트,0.4578,0.3702,0.9695,0.5358,3371,5734,106,1559
Random Forest(상대),학습,1.0,1.0,1.0,1.0,9123,0,0,3499
Random Forest(상대),테스트,0.5044,0.3691,0.7544,0.4957,2623,4484,854,2809
PCA 이상탐지,학습,0.7725,0.9025,0.7683,0.83,7009,757,2114,2742
PCA 이상탐지,테스트,0.475,0.3808,1.0,0.5516,3477,5654,0,1639
교안 규칙(3σ OR),학습,0.7419,0.9696,0.6637,0.788,6055,190,3068,3309
교안 규칙(3σ OR),테스트,0.5797,0.4344,1.0,0.6057,3477,4527,0,2766
