파일,모델,행 수,실제 이상,예측 이상,TP,FP,FN,TN,Accuracy
Test03_OK_chg,교안 규칙(3σ OR),1421,0,145,0,145,0,1276,0.898
Test03_OK_chg,Random Forest(상대),1421,0,117,0,117,0,1304,0.9177
Test03_OK_chg,PCA 이상탐지,1421,0,821,0,821,0,600,0.4222
Test04_OK_dchg,교안 규칙(3σ OR),1505,0,15,0,15,0,1490,0.99
Test04_OK_dchg,Random Forest(상대),1505,0,0,0,0,0,1505,1.0
Test04_OK_dchg,PCA 이상탐지,1505,0,469,0,469,0,1036,0.6884
Test06_NG_chg,교안 규칙(3σ OR),854,854,854,854,0,0,0,1.0
Test06_NG_chg,Random Forest(상대),854,854,0,0,0,854,0,0.0
Test06_NG_chg,PCA 이상탐지,854,854,854,854,0,0,0,1.0
Test07_NG_dchg,교안 규칙(3σ OR),4594,227,4594,227,4367,0,0,0.0494
Test07_NG_dchg,Random Forest(상대),4594,227,4594,227,4367,0,0,0.0494
Test07_NG_dchg,PCA 이상탐지,4594,227,4591,227,4364,0,3,0.0501
Test08_NG_chg,교안 규칙(3σ OR),2396,2396,2396,2396,0,0,0,1.0
Test08_NG_chg,Random Forest(상대),2396,2396,2396,2396,0,0,0,1.0
Test08_NG_chg,PCA 이상탐지,2396,2396,2396,2396,0,0,0,1.0
