파일,충방전,판정,시점,label,규칙_예측,RF_예측,PCA_예측,PCA_이상점수_Q,PCA_이상점수_T2
Test03_OK_chg,충전,OK,0,0,0,0,1,0.0686,100.4323
Test03_OK_chg,충전,OK,1,0,0,0,1,0.1011,95.156
Test03_OK_chg,충전,OK,2,0,0,0,1,0.0927,94.1773
Test03_OK_chg,충전,OK,3,0,0,0,1,8.831,131.5252
Test03_OK_chg,충전,OK,4,0,0,0,1,0.0657,100.9989
Test03_OK_chg,충전,OK,5,0,0,0,1,0.0945,95.4048
Test03_OK_chg,충전,OK,6,0,0,0,1,0.0971,94.8762
Test03_OK_chg,충전,OK,7,0,0,0,1,0.1235,95.1372
Test03_OK_chg,충전,OK,8,0,0,0,1,0.0898,94.5289
Test03_OK_chg,충전,OK,9,0,0,0,1,0.071,101.035
Test03_OK_chg,충전,OK,10,0,0,0,1,0.062,101.1897
Test03_OK_chg,충전,OK,11,0,0,0,1,0.0851,100.0869
Test03_OK_chg,충전,OK,12,0,0,0,1,0.0929,95.2442
Test03_OK_chg,충전,OK,13,0,0,0,1,0.1016,94.8783
Test03_OK_chg,충전,OK,14,0,0,0,1,0.0579,101.0472
Test03_OK_chg,충전,OK,15,0,0,0,1,0.0681,100.1817
Test03_OK_chg,충전,OK,16,0,0,0,1,0.0686,100.4389
Test03_OK_chg,충전,OK,17,0,0,0,1,0.0617,100.3035
Test03_OK_chg,충전,OK,18,0,0,0,1,0.1023,95.6592
Test03_OK_chg,충전,OK,19,0,0,0,1,0.0952,94.9854
Test03_OK_chg,충전,OK,20,0,0,0,1,0.0901,94.3038
Test03_OK_chg,충전,OK,21,0,0,0,1,0.0947,94.2299
Test03_OK_chg,충전,OK,22,0,0,0,1,0.064,100.2589
Test03_OK_chg,충전,OK,23,0,0,0,1,0.0637,100.1463
Test03_OK_chg,충전,OK,24,0,0,0,1,0.0224,102.0906
Test03_OK_chg,충전,OK,25,0,0,0,1,0.0594,101.0009
Test03_OK_chg,충전,OK,26,0,0,0,1,0.0928,94.2313
Test03_OK_chg,충전,OK,27,0,0,0,1,0.064,100.2655
Test03_OK_chg,충전,OK,28,0,0,0,1,8.8842,137.3877
Test03_OK_chg,충전,OK,29,0,0,0,1,0.0686,100.9091
Test03_OK_chg,충전,OK,30,0,0,0,1,0.0802,100.8151
Test03_OK_chg,충전,OK,31,0,0,0,1,0.0568,101.2815
